"lessonNumber","lessonKey","section","syllabusId","objectiveId","atomicObjective","defaultVisibleTeachingEvidence","materialTypes","materialTitles","questionIds","pastPaperReference","reviewStatus","desktopEvidence","mobileEvidence","confidence"
"004","S1-L04","1","S1.07","S1.07.A03","Students will not be expected to memorise any particular character codes","Character sets map symbols to binary codes","flow | worked-example | reviewed-visual","Mechanism in examinable order | Character sets map symbols to binary codes: complete worked route | ASCII and extended ASCII","V3-Q-L004-01 | V3-Q-L004-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-004.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-004.png","high"
"005","S1-L05","1","S1.08","S1.08.A01","Explain how pixels and a file header encode a bitmap.","A bitmap stores metadata plus a grid of pixels","cards | worked-example | reviewed-visual","Structure and relationships | A bitmap stores metadata plus a grid of pixels: complete worked route | Colour depth: bits per pixel","V3-Q-L005-01 | V3-Q-L005-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.08","S1.08.A02","Distinguish image resolution from screen resolution.","A bitmap stores metadata plus a grid of pixels","cards | worked-example | reviewed-visual","Structure and relationships | A bitmap stores metadata plus a grid of pixels: complete worked route | Colour depth: bits per pixel","V3-005-S1.08-CHECK","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.08","S1.08.A03","Explain colour depth as bits per pixel and the number of available colours.","A bitmap stores metadata plus a grid of pixels","cards | worked-example | reviewed-visual","Structure and relationships | A bitmap stores metadata plus a grid of pixels: complete worked route | Colour depth: bits per pixel","V3-Q-L005-01 | V3-Q-L005-02 | V3-Q-L005-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.08","S1.08.A04","Calculate uncompressed bitmap pixel-data size and convert units.","A bitmap stores metadata plus a grid of pixels","cards | worked-example | reviewed-visual","Structure and relationships | A bitmap stores metadata plus a grid of pixels: complete worked route | Colour depth: bits per pixel","V3-Q-L005-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.08","S1.08.A05","Explain how image resolution affects stored detail and file size.","A bitmap stores metadata plus a grid of pixels","cards | worked-example | reviewed-visual","Structure and relationships | A bitmap stores metadata plus a grid of pixels: complete worked route | Colour depth: bits per pixel","V3-Q-L005-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.08","S1.08.A06","Explain how colour depth affects colour accuracy and file size.","A bitmap stores metadata plus a grid of pixels","cards | worked-example | reviewed-visual","Structure and relationships | A bitmap stores metadata plus a grid of pixels: complete worked route | Colour depth: bits per pixel","V3-Q-L005-02 | V3-Q-L005-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.09","S1.09.A01","Explain a vector drawing list, its drawing objects and their properties.","A vector file stores drawing instructions","cards | worked-example | reviewed-visual","Structure and relationships | A vector file stores drawing instructions: complete worked route | Vector drawing list: objects, properties and redrawing","V3-Q-L005-01 | V3-Q-L005-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.09","S1.09.A02","Explain why vector graphics scale without pixelation.","A vector file stores drawing instructions","cards | worked-example | reviewed-visual","Structure and relationships | A vector file stores drawing instructions: complete worked route | Vector drawing list: objects, properties and redrawing","V3-Q-L005-01","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"005","S1-L05","1","S1.09","S1.09.A03","Justify bitmap or vector representation for a given task.","A vector file stores drawing instructions","cards | worked-example | reviewed-visual","Structure and relationships | A vector file stores drawing instructions: complete worked route | Vector drawing list: objects, properties and redrawing","V3-005-S1.09-CHECK","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-005.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-005.png","high"
"006","S1-L06","1","S1.10","S1.10.A01","Explain sampling of an analogue sound wave.","Sampling measures a wave at discrete moments","flow | worked-example | reviewed-visual","Mechanism in examinable order | Separate the two quality controls | Sampling rate: samples per second","V3-Q-L006-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.10","S1.10.A02","Explain quantisation and binary encoding of sample values.","Sampling measures a wave at discrete moments","flow | worked-example | reviewed-visual","Mechanism in examinable order | Separate the two quality controls | Sampling rate: samples per second","V3-Q-L006-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.10","S1.10.A03","Explain the effect of sampling rate on time accuracy and file size.","Sampling measures a wave at discrete moments","flow | worked-example | reviewed-visual","Mechanism in examinable order | Separate the two quality controls | Sampling rate: samples per second","V3-Q-L006-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.10","S1.10.A04","Explain the effect of sampling resolution on amplitude accuracy and file size.","Sampling measures a wave at discrete moments","flow | worked-example | reviewed-visual","Mechanism in examinable order | Separate the two quality controls | Sampling rate: samples per second","V3-Q-L006-02","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A01","Explain why files are compressed.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-006-S1.11-CHECK","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A02","Distinguish lossless and lossy compression by reconstruction and information loss.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-Q-L006-01 | V3-Q-L006-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A03","Encode and decode run-length encoding and judge when it is effective.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-006-S1.11-CHECK","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A04","Explain suitable lossless compression for ordinary text.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-Q-L006-01","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A05","Explain lossless and lossy compression choices for bitmap images.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-Q-L006-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A06","Explain lossless storage of repeated vector objects or properties.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-Q-L006-01","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A07","Explain lossless and lossy compression choices for sound.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-Q-L006-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"006","S1-L06","1","S1.11","S1.11.A08","Justify a compression method from fidelity, repetition and intended use.","Compression removes or rewrites repeated information","table | worked-example | reviewed-visual","Decision evidence | Encode and decode a run-length sequence | Choose a method for four file types | Lossless compression: exact reconstruction","V3-Q-L006-01 | V3-Q-L006-03","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-006.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-006.png","high"
"007","S2-L01","2","S2.01","S2.01.A01","Explain why devices are networked and link each benefit to a consequence.","Networking creates shared access; LAN and WAN describe scope","analogy | cards","One managed site; several distant sites | Turn a feature into a benefit","S2-L01-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.01","S2.01.A02","Distinguish a LAN by limited area and organisational control.","Networking creates shared access; LAN and WAN describe scope","analogy | table","One managed site; several distant sites | LAN and WAN: describe scope before performance","S2-L01-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.01","S2.01.A03","Distinguish a WAN by large area, linked sites and provider infrastructure.","Networking creates shared access; LAN and WAN describe scope","analogy | table","One managed site; several distant sites | LAN and WAN: describe scope before performance","S2-L01-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.02","S2.02.A01","Explain client and server roles.","Network models describe who requests and who provides","flow","Client-server request cycle | Peer-to-peer exchange","S2-L01-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.02","S2.02.A02","Compare client-server and peer-to-peer benefits and drawbacks.","Network models describe who requests and who provides","table","Choose the model from the consequence","S2-L01-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.02","S2.02.A03","Justify a network model from a scenario.","Network models describe who requests and who provides","table","Choose the model from the consequence","S2-L01-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.03","S2.03.A01","Explain where a thin client performs processing and stores resources.","Thin and thick describe where the client work happens","table","Where processing, storage and maintenance sit","S2-L01-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.03","S2.03.A02","Explain where a thick client performs processing and stores resources.","Thin and thick describe where the client work happens","table","Where processing, storage and maintenance sit","S2-L01-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"007","S2-L01","2","S2.03","S2.03.A03","Choose a client type from dependence, management and offline-work requirements.","Thin and thick describe where the client work happens","table","Where processing, storage and maintenance sit","S2-L01-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-007.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-007.png","high"
"008","S2-L02","2","S2.04","S2.04.A01","Recognise and explain a bus topology.","The topology is the link pattern","topology-gallery","Count links first; trace the path second","S2-L02-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"008","S2-L02","2","S2.04","S2.04.A02","Recognise and explain a star topology.","The topology is the link pattern","topology-gallery","Count links first; trace the path second","S2-L02-Q1 | S2-L02-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"008","S2-L02","2","S2.04","S2.04.A03","Recognise and explain a mesh topology.","The topology is the link pattern","topology-gallery","Count links first; trace the path second","S2-L02-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"008","S2-L02","2","S2.04","S2.04.A04","Recognise and explain a hybrid topology.","The topology is the link pattern","topology-gallery","Count links first; trace the path second","S2-L02-Q1 | S2-L02-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"008","S2-L02","2","S2.05","S2.05.A01","Trace transmission between two hosts for a given topology.","The topology is the link pattern","topology-gallery","Count links first; trace the path second","S2-L02-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"008","S2-L02","2","S2.05","S2.05.A02","Explain failure effects, traffic and redundancy.","A good choice connects structure to consequence","table","Failure and design trade-offs","S2-L02-Q2 | S2-L02-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"008","S2-L02","2","S2.05","S2.05.A03","Justify a topology for a scenario.","A good choice connects structure to consequence","table | cards","Failure and design trade-offs | Justification checklist","S2-L02-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-008.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-008.png","high"
"009","S2-L03","2","S2.06","S2.06.A01","Explain cloud computing as remote computing resources accessed through a network.","Cloud changes where resources run and who controls the infrastructure","analogy | flow","Shared facility and dedicated facility | One cloud request","S2-L03-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-009.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-009.png","high"
"009","S2-L03","2","S2.06","S2.06.A02","Distinguish public and private cloud control and tenancy.","Cloud changes where resources run and who controls the infrastructure","analogy | table","Shared facility and dedicated facility | Public and private cloud","S2-L03-Q1 | S2-L03-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-009.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-009.png","high"
"009","S2-L03","2","S2.06","S2.06.A03","Explain benefits and drawbacks of cloud computing.","Cloud benefits and risks must be connected to dependence","table","Claim → mechanism → consequence","S2-L03-Q2 | S2-L03-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-009.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-009.png","high"
"009","S2-L03","2","S2.06","S2.06.A04","Justify a cloud choice for a scenario.","Cloud benefits and risks must be connected to dependence","table | cards","Claim → mechanism → consequence | Scenario decision","S2-L03-Q2 | S2-L03-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-009.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-009.png","high"
"010","S2-L04","2","S2.07","S2.07.A01","Compare wired and wireless networks and explain implications.","Wired and wireless create different constraints","table","Wired and wireless implications","S2-L04-Q2 | S2-L04-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"010","S2-L04","2","S2.08","S2.08.A01","Describe copper-cable signal characteristics.","The carrier determines capacity, attenuation and interference","analogy | table","Three carrier mechanisms | Medium selection matrix","S2-L04-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"010","S2-L04","2","S2.08","S2.08.A02","Describe fibre-optic signal characteristics.","The carrier determines capacity, attenuation and interference","analogy | table","Three carrier mechanisms | Medium selection matrix","S2-L04-Q1 | S2-L04-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"010","S2-L04","2","S2.08","S2.08.A03","Describe radio waves including WiFi.","The carrier determines capacity, attenuation and interference","analogy | table","Three carrier mechanisms | Medium selection matrix","S2-L04-Q1 | S2-L04-Q2 | S2-L04-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"010","S2-L04","2","S2.08","S2.08.A04","Describe terrestrial microwave links.","The carrier determines capacity, attenuation and interference","table","Medium selection matrix","S2-L04-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"010","S2-L04","2","S2.08","S2.08.A05","Describe satellite links.","The carrier determines capacity, attenuation and interference","table","Medium selection matrix","S2-L04-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"010","S2-L04","2","S2.08","S2.08.A06","Justify a transmission medium for a scenario.","The carrier determines capacity, attenuation and interference","table | flow","Medium selection matrix | Choose a medium","S2-L04-Q2 | S2-L04-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-010.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-010.png","high"
"011","S2-L05","2","S2.09","S2.09.A01","Describe switch and server roles.","Every LAN device has a specific job","flow | table","One wireless request to a local server | LAN hardware role map","S2-L05-Q1 | S2-L05-Q2 | S2-L05-Q4","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.09","S2.09.A02","Describe NIC and WNIC roles.","Every LAN device has a specific job","flow | table","One wireless request to a local server | LAN hardware role map","S2-L05-Q1 | S2-L05-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.09","S2.09.A03","Describe WAP and cable roles.","Every LAN device has a specific job","flow | table","One wireless request to a local server | LAN hardware role map","S2-L05-Q1 | S2-L05-Q2","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.09","S2.09.A04","Describe bridge and repeater roles.","Every LAN device has a specific job","table","LAN hardware role map","S2-L05-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.10","S2.10.A01","Explain how a router forwards packets between networks.","The router crosses a network boundary","flow | table","From LAN to another network | Switch and router boundary","S2-L05-Q2 | S2-L05-Q4","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.10","S2.10.A02","Distinguish router and switch scope.","The router crosses a network boundary","table","Switch and router boundary","S2-L05-Q2 | S2-L05-Q4","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.11","S2.11.A01","Explain Ethernet frames and a shared medium.","CSMA/CD detects a collision, stops, waits and retries","analogy","One shared lane, two simultaneous users","S2-L05-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.11","S2.11.A02","Describe the complete CSMA/CD sequence.","CSMA/CD detects a collision, stops, waits and retries","flow","CSMA/CD timeline","S2-L05-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"011","S2-L05","2","S2.11","S2.11.A03","Explain why random backoff reduces repeated collisions.","CSMA/CD detects a collision, stops, waits and retries","flow","CSMA/CD timeline","S2-L05-Q3","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-011.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-011.png","high"
"012","S2-L06","2","S2.12","S2.12.A01","Explain bit streaming and progressive playback.","Streaming begins before the complete media file arrives","table","Real-time and on-demand","S2-L06-Q1","","reviewed","audits/course-v3-visual-evidence/full-pages/desktop/lesson-012.png","audits/course-v3-visual-evidence/full-pages/mobile-390/lesson-012.png","high"
