"asset_id","title","path","ownership_status","requirement_ids","allowed_lesson_ids","rollout_status","source_old_lessons","delivery","reasons"
"stage10-lesson-020-protocols","What a protocol is","assets/diagrams/stage10-infographics/stage10-lesson-020-protocols.jpg","inventory-only","","","inventory-only","20","OPTIONAL / EXTEND",""
"stage10-lesson-020-rules","What protocol rules can specify","assets/diagrams/stage10-infographics/stage10-lesson-020-rules.jpg","inventory-only","","","inventory-only","20","OPTIONAL / EXTEND",""
"stage10-lesson-021-address-journey","From a URL to a packet on the local link","assets/diagrams/stage10-infographics/stage10-lesson-021-address-journey.jpg","inventory-only","","","inventory-only","21","OPTIONAL / EXTEND",""
"stage10-lesson-021-addresses","IP address vs MAC address","assets/diagrams/stage10-infographics/stage10-lesson-021-addresses.jpg","inventory-only","","","inventory-only","21","OPTIONAL / EXTEND",""
"stage10-lesson-021-checkpoint","5-minute mini assessment","assets/diagrams/stage10-infographics/stage10-lesson-021-checkpoint.jpg","inventory-only","","","inventory-only","21","OPTIONAL / EXTEND",""
"stage10-lesson-021-dns","DNS: name to IP address","assets/diagrams/stage10-infographics/stage10-lesson-021-dns.jpg","assigned","S2.16","012","whole-course-active","21","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-021-urls","URL components","assets/diagrams/stage10-infographics/stage10-lesson-021-urls.jpg","assigned","S2.16","012","whole-course-active","21","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-022-email","Email protocols: SMTP, POP3 and IMAP","assets/diagrams/stage10-infographics/stage10-lesson-022-email.jpg","inventory-only","","","inventory-only","22","OPTIONAL / EXTEND",""
"stage10-lesson-022-file","FTP for file transfer","assets/diagrams/stage10-infographics/stage10-lesson-022-file.jpg","inventory-only","","","inventory-only","22","OPTIONAL / EXTEND",""
"stage10-lesson-022-web","HTTP and HTTPS","assets/diagrams/stage10-infographics/stage10-lesson-022-web.jpg","inventory-only","","","inventory-only","22","OPTIONAL / EXTEND",""
"stage10-lesson-023-compare","Compare by factor, not by vibe","assets/diagrams/stage10-infographics/stage10-lesson-023-compare.jpg","assigned","S2.07","009","whole-course-active","23","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-023-wired","Wired transmission media","assets/diagrams/stage10-infographics/stage10-lesson-023-wired.jpg","assigned","S2.08","009","whole-course-active","23","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-023-wireless","Wireless transmission media","assets/diagrams/stage10-infographics/stage10-lesson-023-wireless.jpg","assigned","S2.08","009","whole-course-active","23","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-024-compare","Compare by job and boundary","assets/diagrams/stage10-infographics/stage10-lesson-024-compare.jpg","inventory-only","","","inventory-only","24","OPTIONAL / EXTEND",""
"stage10-lesson-024-gateway","Gateways: connecting different network rules","assets/diagrams/stage10-infographics/stage10-lesson-024-gateway.jpg","inventory-only","","","inventory-only","24","OPTIONAL / EXTEND",""
"stage10-lesson-024-lan","Switches: forwarding inside a LAN","assets/diagrams/stage10-infographics/stage10-lesson-024-lan.jpg","assigned","S2.09","010","whole-course-active","24","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-024-routing","Routers: forwarding between networks","assets/diagrams/stage10-infographics/stage10-lesson-024-routing.jpg","assigned","S2.10","010","whole-course-active","24","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-024-wireless","Wireless access points: joining wireless devices","assets/diagrams/stage10-infographics/stage10-lesson-024-wireless.jpg","inventory-only","","","inventory-only","24","OPTIONAL / EXTEND",""
"stage10-lesson-025-cloud","Cloud services","assets/diagrams/stage10-infographics/stage10-lesson-025-cloud.jpg","assigned","S2.06","009","whole-course-active","25","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-025-compare","Compare networks by access and control","assets/diagrams/stage10-infographics/stage10-lesson-025-compare.jpg","inventory-only","","","inventory-only","25","OPTIONAL / EXTEND",""
"stage10-lesson-025-networks","Internet, intranet and extranet","assets/diagrams/stage10-infographics/stage10-lesson-025-networks.jpg","inventory-only","","","inventory-only","25","OPTIONAL / EXTEND",""
"stage10-lesson-026-calculation","Simple transfer time calculation","assets/diagrams/stage10-infographics/stage10-lesson-026-calculation.jpg","inventory-only","","","inventory-only","26","OPTIONAL / EXTEND",""
"stage10-lesson-026-concepts","Core performance terms","assets/diagrams/stage10-infographics/stage10-lesson-026-concepts.jpg","inventory-only","","","inventory-only","26","OPTIONAL / EXTEND",""
"stage10-lesson-026-factors","Factors that affect performance","assets/diagrams/stage10-infographics/stage10-lesson-026-factors.jpg","inventory-only","","","inventory-only","26","OPTIONAL / EXTEND",""
"stage10-lesson-027-map","Section 2 in one page","assets/diagrams/stage10-infographics/stage10-lesson-027-map.jpg","review-only","","","inventory-only","27","OPTIONAL / EXTEND",""
"stage10-lesson-027-precision","Precision rules for Section 2 answers","assets/diagrams/stage10-infographics/stage10-lesson-027-precision.jpg","review-only","","","inventory-only","27","OPTIONAL / EXTEND",""
"stage10-lesson-028-components","Component roles and examples","assets/diagrams/stage10-infographics/stage10-lesson-028-components.jpg","assigned","S3.01","013","whole-course-active","28","OPTIONAL / EXTEND","Separates the roles of input, output, primary memory and secondary storage."
"stage10-lesson-028-flow","The basic system flow","assets/diagrams/stage10-infographics/stage10-lesson-028-flow.jpg","assigned","S3.01","013","whole-course-active","28","OPTIONAL / EXTEND","Shows the system flow from input through processing and memory to output or persistent storage."
"stage10-lesson-028-memory-storage","Memory is not the same as storage","assets/diagrams/stage10-infographics/stage10-lesson-028-memory-storage.jpg","assigned","S3.01","013","whole-course-active","28","OPTIONAL / EXTEND","Directly contrasts temporary primary memory with persistent secondary storage."
"stage10-lesson-029-automatic","Manual input vs automatic data capture","assets/diagrams/stage10-infographics/stage10-lesson-029-automatic.jpg","inventory-only","","","inventory-only","29","OPTIONAL / EXTEND",""
"stage10-lesson-029-capture","What input devices do","assets/diagrams/stage10-infographics/stage10-lesson-029-capture.jpg","inventory-only","","","inventory-only","29","OPTIONAL / EXTEND",""
"stage10-lesson-029-devices","Common input devices and what they capture","assets/diagrams/stage10-infographics/stage10-lesson-029-devices.jpg","inventory-only","","","inventory-only","29","OPTIONAL / EXTEND",""
"stage10-lesson-030-devices","Common output devices and when they fit","assets/diagrams/stage10-infographics/stage10-lesson-030-devices.jpg","inventory-only","","","inventory-only","30","OPTIONAL / EXTEND",""
"stage10-lesson-030-feedback","User feedback must fit the situation","assets/diagrams/stage10-infographics/stage10-lesson-030-feedback.jpg","inventory-only","","","inventory-only","30","OPTIONAL / EXTEND",""
"stage10-lesson-030-purpose","What output devices do","assets/diagrams/stage10-infographics/stage10-lesson-030-purpose.jpg","inventory-only","","","inventory-only","30","OPTIONAL / EXTEND",""
"stage10-lesson-031-cache-vm","Why cache helps and virtual memory slows","assets/diagrams/stage10-infographics/stage10-lesson-031-cache-vm.jpg","inventory-only","","","inventory-only","31","OPTIONAL / EXTEND",""
"stage10-lesson-031-primary","Why active data stays close to the CPU","assets/diagrams/stage10-infographics/stage10-lesson-031-primary.jpg","inventory-only","","","inventory-only","31","OPTIONAL / EXTEND",""
"stage10-lesson-031-ram-rom","Why RAM changes while ROM remains stable","assets/diagrams/stage10-infographics/stage10-lesson-031-ram-rom.jpg","assigned","S3.05","015","whole-course-active","31","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-032-compare","Compare by scenario, not by favourite brand","assets/diagrams/stage10-infographics/stage10-lesson-032-compare.jpg","inventory-only","","","inventory-only","32","OPTIONAL / EXTEND",""
"stage10-lesson-032-media","Three main storage media","assets/diagrams/stage10-infographics/stage10-lesson-032-media.jpg","inventory-only","","","inventory-only","32","OPTIONAL / EXTEND",""
"stage10-lesson-032-purpose","What secondary storage does","assets/diagrams/stage10-infographics/stage10-lesson-032-purpose.jpg","inventory-only","","","inventory-only","32","OPTIONAL / EXTEND",""
"stage10-lesson-032-storage-visual","Look at the storage mechanism before comparing performance","assets/diagrams/stage10-infographics/stage10-lesson-032-storage-visual.jpg","inventory-only","","","inventory-only","32","OPTIONAL / EXTEND",""
"stage10-lesson-033-answer","The answer pattern: choice - characteristic - context - consequence","assets/diagrams/stage10-infographics/stage10-lesson-033-answer.jpg","inventory-only","","","inventory-only","33","OPTIONAL / EXTEND",""
"stage10-lesson-033-criteria","The five core characteristics","assets/diagrams/stage10-infographics/stage10-lesson-033-criteria.jpg","inventory-only","","","inventory-only","33","OPTIONAL / EXTEND",""
"stage10-lesson-033-tradeoffs","Trade-offs by common storage device","assets/diagrams/stage10-infographics/stage10-lesson-033-tradeoffs.jpg","inventory-only","","","inventory-only","33","OPTIONAL / EXTEND",""
"stage10-lesson-034-embedded","What is an embedded system?","assets/diagrams/stage10-infographics/stage10-lesson-034-embedded.jpg","assigned","S3.02","013","whole-course-active","34","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-034-microcontroller","Microcontroller vs general-purpose computer","assets/diagrams/stage10-infographics/stage10-lesson-034-microcontroller.jpg","inventory-only","","","inventory-only","34","OPTIONAL / EXTEND",""
"stage10-lesson-035-actuators","Actuators turn output signals into physical action","assets/diagrams/stage10-infographics/stage10-lesson-035-actuators.jpg","inventory-only","","","inventory-only","35","OPTIONAL / EXTEND",""
"stage10-lesson-035-control","Control systems use rules and feedback","assets/diagrams/stage10-infographics/stage10-lesson-035-control.jpg","assigned","S3.08","016","whole-course-active","35","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-035-sensors","Required sensor types and applications","assets/diagrams/stage10-infographics/stage10-lesson-035-sensors.jpg","assigned","S3.09","016","whole-course-active","32","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-036-gate-visual","Six symbols, six exact output rules","assets/diagrams/stage10-infographics/stage10-lesson-036-gate-visual.jpg","assigned","S3.10","017","whole-course-active","33","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-036-gates","The six gate rules","assets/diagrams/stage10-infographics/stage10-lesson-036-gates.jpg","inventory-only","","","inventory-only","36","OPTIONAL / EXTEND",""
"stage10-lesson-036-signals","Logic gates use binary signals","assets/diagrams/stage10-infographics/stage10-lesson-036-signals.jpg","inventory-only","","","inventory-only","36","OPTIONAL / EXTEND",""
"stage10-lesson-036-symbols","Recognise gate symbols and the inversion bubble","assets/diagrams/stage10-infographics/stage10-lesson-036-symbols.jpg","inventory-only","","","inventory-only","36","OPTIONAL / EXTEND",""
"stage10-lesson-037-expressions","Boolean expressions describe gate behaviour","assets/diagrams/stage10-infographics/stage10-lesson-037-expressions.jpg","inventory-only","","","inventory-only","37","OPTIONAL / EXTEND",""
"stage10-lesson-037-precedence","Brackets and NOT usually come before the final combination","assets/diagrams/stage10-infographics/stage10-lesson-037-precedence.jpg","inventory-only","","","inventory-only","37","OPTIONAL / EXTEND",""
"stage10-lesson-037-table-method","A reliable truth-table method","assets/diagrams/stage10-infographics/stage10-lesson-037-table-method.jpg","inventory-only","","","inventory-only","37","OPTIONAL / EXTEND",""
"stage10-lesson-038-design","A circuit design method that examiners can follow","assets/diagrams/stage10-infographics/stage10-lesson-038-design.jpg","inventory-only","","","inventory-only","38","OPTIONAL / EXTEND",""
"stage10-lesson-038-diagram","Gate sequence creates the circuit structure","assets/diagrams/stage10-infographics/stage10-lesson-038-diagram.jpg","inventory-only","","","inventory-only","38","OPTIONAL / EXTEND",""
"stage10-lesson-038-parse","Parse requirement wording into logic","assets/diagrams/stage10-infographics/stage10-lesson-038-parse.jpg","inventory-only","","","inventory-only","38","OPTIONAL / EXTEND",""
"stage10-lesson-039-categories","Classify the hardware before choosing it","assets/diagrams/stage10-infographics/stage10-lesson-039-categories.jpg","inventory-only","","","inventory-only","39","OPTIONAL / EXTEND",""
"stage10-lesson-039-criteria","Choose hardware using stated criteria","assets/diagrams/stage10-infographics/stage10-lesson-039-criteria.jpg","inventory-only","","","inventory-only","39","OPTIONAL / EXTEND",""
"stage10-lesson-039-users","Different users value different trade-offs","assets/diagrams/stage10-infographics/stage10-lesson-039-users.jpg","inventory-only","","","inventory-only","39","OPTIONAL / EXTEND",""
"stage10-lesson-040-environment","Environmental factors change hardware suitability","assets/diagrams/stage10-infographics/stage10-lesson-040-environment.jpg","inventory-only","","","inventory-only","40","OPTIONAL / EXTEND",""
"stage10-lesson-040-mitigation","Mitigation must match the risk","assets/diagrams/stage10-infographics/stage10-lesson-040-mitigation.jpg","inventory-only","","","inventory-only","40","OPTIONAL / EXTEND",""
"stage10-lesson-040-reliability","Reliability is about continuing to work correctly","assets/diagrams/stage10-infographics/stage10-lesson-040-reliability.jpg","inventory-only","","","inventory-only","40","OPTIONAL / EXTEND",""
"stage10-lesson-041-checkpoint","Short timed review structure","assets/diagrams/stage10-infographics/stage10-lesson-041-checkpoint.jpg","review-only","","","inventory-only","41","OPTIONAL / EXTEND",""
"stage10-lesson-041-map","Section 3 topic map","assets/diagrams/stage10-infographics/stage10-lesson-041-map.jpg","review-only","","","inventory-only","41","OPTIONAL / EXTEND",""
"stage10-lesson-041-skills","Three review skills: compare, justify, calculate","assets/diagrams/stage10-infographics/stage10-lesson-041-skills.jpg","review-only","","","inventory-only","41","OPTIONAL / EXTEND",""
"stage10-lesson-042-alu-cu","Why control and calculation are separate","assets/diagrams/stage10-infographics/stage10-lesson-042-alu-cu.jpg","inventory-only","","","inventory-only","42","OPTIONAL / EXTEND",""
"stage10-lesson-042-architecture","Why a CPU divides specialised work","assets/diagrams/stage10-infographics/stage10-lesson-042-architecture.jpg","assigned","S4.01","019","whole-course-active","42","CORE / TEACH","Reviewed syllabus visualEvidence contract"
"stage10-lesson-042-cpu-map","Inside the CPU, outside the CPU, and what connects them","assets/diagrams/stage10-infographics/stage10-lesson-042-cpu-map.jpg","inventory-only","","","inventory-only","42","OPTIONAL / EXTEND",""
"stage10-lesson-042-registers","How registers, buses and clock stay aligned","assets/diagrams/stage10-infographics/stage10-lesson-042-registers.jpg","assigned","S4.03","019","whole-course-active","42","OPTIONAL / EXTEND","Reviewed syllabus visualEvidence contract"
"stage10-lesson-043-cycle-visual","Trace one instruction through the fetch stage","assets/diagrams/stage10-infographics/stage10-lesson-043-cycle-visual.jpg","inventory-only","","","inventory-only","43","OPTIONAL / EXTEND",""
"stage10-lesson-043-cycle","The cycle in one clean sentence","assets/diagrams/stage10-infographics/stage10-lesson-043-cycle.jpg","inventory-only","","","inventory-only","43","OPTIONAL / EXTEND",""
"stage10-lesson-043-decode","Decode and execute are not filler words","assets/diagrams/stage10-infographics/stage10-lesson-043-decode.jpg","inventory-only","","","inventory-only","43","OPTIONAL / EXTEND",""
"stage10-lesson-043-fetch","Fetch stage: the register sequence","assets/diagrams/stage10-infographics/stage10-lesson-043-fetch.jpg","inventory-only","","","inventory-only","43","OPTIONAL / EXTEND",""
"stage10-lesson-043-registers","The four fetch-stage names you cannot blur together","assets/diagrams/stage10-infographics/stage10-lesson-043-registers.jpg","inventory-only","","","inventory-only","43","OPTIONAL / EXTEND",""
