lesson,visual_id,section_id,method,topic,required_facts,source,status,content_hash
016,topologies-circle-46,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,71dae4e8fb682a0bf865a4d04e6db448fa81ae010f28d13488aa1b3db5597c76
016,topologies-circle-47,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,26e944a7073afd9f56ada38d28ccb44b801b3da767f833d2fdf48d7f72eb349e
016,topologies-circle-48,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,6f8a372f493f515c24608df31783d7fd326a62fba00f467826034865f9c3e1ce
016,topologies-circle-8,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,b0f4312150e1b79bbc82334e26874d12aad6dd51c3e0de3ad683b538ad5c45e5
016,topologies-circle-9,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,e1aba03c05462bf7026d6115de4cb0825f6b3c30edef03c882fa1d7d88013568
016,topologies-div-1,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,a8dfd7c9de6c2ec52f79cc3abe44234d3287b9faed505161b53e32790d6446f7
016,topologies-line-14,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,ef0e49a41aa0cabc67847e45fa73a4e8677032057a0fa2aad4e6cae22f33b1fb
016,topologies-line-15,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,b08fa59150482a9eccee4729c3bda00391367b4301fcaf1aad7614685d84600e
016,topologies-line-16,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,7c382ec43208952337ea9dbb593296c9c89f2aed63c74ca3a36063911f4e0efc
016,topologies-line-17,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,bc352cf3ed465d7f8da4e92bb069e11effc211455ae3e79f0cd3629d43ced990
016,topologies-line-25,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,754bda297abdd85c2a7b35af03f5b0107975a726ba12f6a025d0736d37728323
016,topologies-line-26,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,dec7aaa1522554e5dc6647e5a7a14f6e9e46287606e03ba361d92581506acda0
016,topologies-line-27,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,c36d929035af20b93cc83a6bb552b52173c1a59d366c0e249fac3031af2d9f44
016,topologies-line-28,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,b78443d45484188062864c9d19782dbfb28ef23f724e58f3e95e75f0cf53abef
016,topologies-line-29,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,7e8eb65c279072c3b09c11897ef7a37f4ebbd1896f3fbb7ff027b814b3995873
016,topologies-line-3,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,53d8cbe010ce3c145d32150b952dcf269ffe7252fe9a825f586b90f84dc52644
016,topologies-line-30,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,e2d7ef9041d5e0eaa241e5f9278181675d7f1f43132a6aeccd04a3397076547c
016,topologies-line-36,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,1cef2cc2a993439a94c84c8e1ac1d18c8f8c52c3d81f423a00f0020521ab5c7f
016,topologies-line-37,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,e7dd2dd276161baa1659c6ee8a7370ae6b934c3fa5e1fbdb50b4ce2b22f0a113
016,topologies-line-38,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,7e9418c53b6e3ccead32ba6077bd8abc513c7dbc614c2efeb7f987258480ba0f
016,topologies-line-39,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,f5d149f69a4648b558545e7be8cf8ac558abb1af0d7e11b6f497d1949dbe0200
016,topologies-line-4,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,f5925797d44bddd628eafa5b3ccf3cb6e5ce5a1cbb57eba60796993679290cb2
016,topologies-line-40,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,7f7d82e252388e08d0ce2d2413e6bc726c4a5781ded25b5ec7d926e735dfc7e4
016,topologies-line-41,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,9013244d071b5378705c5018b04229d97fa37c4e68834d40777d96cd221ad643
016,topologies-line-42,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,17899dd4d2af78527fbe9b7f72d0f48bdf59bbd6755ccd470cd96b5502cb1cec
016,topologies-line-5,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,2e0213e7659a43fcc2a2edc6aecc520f1a45011b544c95176cd17c45663dc9a7
016,topologies-line-6,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,eadcdd723627a598fe19b60aff8988e95192e2bde06ed5e86670d4c9c38dba7e
016,topologies-line-7,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,da8218e5662dc8821b10a37181222f481df16c5a42ef0f0edc4146897b29185e
016,topologies-rect-22,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,52f83baf942a2b13ca72606a6b78c3b4600add147bab4a3fc106406bc5f85c63
016,topologies-rect-49,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,15be98558c8765f31d05bed252457344d3d8c565bcab52580aadd90edaf90161
016,topologies-rect-50,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,9a3d002f443b8c3f3266ae8e257b5bfce1daa2438000a176da5a5254581f937a
016,topologies-svg-13,topologies,Inline SVG,Star topology,Four devices each have an independent link to one central switch.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,c0807d85331b5367ca67d0bd24005e2b6063064decfa204609645acaa7f71d63
016,topologies-svg-2,topologies,Inline SVG,Bus topology,Four devices connect by short branches to one shared horizontal backbone cable.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,2b64eaa0c9801bfecadf58d02a2c7a06e2e5a07adf15c4b30e46439ae9bca70f
016,topologies-svg-24,topologies,Inline SVG,Full mesh topology example,"Four devices are fully connected: every device has a direct link to each of the other three devices, making six links.",Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,2732b5392e4139e7c2416b3d3f00446c78abb2ac9310ca50de72ecbcdb88cb5a
016,topologies-svg-35,topologies,Inline SVG,Hybrid topology,Two star segments are connected together. Each segment has a central switch and three attached devices.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,5e557f666891facda3f900f74b7bc129a94a83415e35ae6b6a8d2cd88af1a65c
016,topologies-text-12,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,d638ace78f482ba5bb86a2385c54d2b41d56da901e9dd940987db6a378a5c46b
016,topologies-text-23,topologies,HTML/CSS,Network topologies,Define exact facts for manual review of Network topologies.,Cambridge 9618 syllabus 2027-2029 section 2.1,PilotReview,3951fd52cd697137526acc15efffe2ae8c36cb9098a092f210d82ada17b54b72
017,model-visual-details-8,model-visual,HTML/CSS,One model has equal peers; the other has dedicated service roles,Define exact facts for manual review of One model has equal peers; the other has dedicated service roles.,Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
017,model-visual-div-1,model-visual,HTML/CSS,One model has equal peers; the other has dedicated service roles,Define exact facts for manual review of One model has equal peers; the other has dedicated service roles.,Lesson content and applicable syllabus row,ApprovedBaseline,b8d6a67c84d2224e01c239357c6ecfc883f2fb8b7f28b0312e94ec1581dd3ba9
017,model-visual-div-2,model-visual,HTML/CSS,One model has equal peers; the other has dedicated service roles,Define exact facts for manual review of One model has equal peers; the other has dedicated service roles.,Lesson content and applicable syllabus row,ApprovedBaseline,d0be4a49e3d4c0075aea3dd7eb54521944fb06cbe9e822c8134c51df1e25998b
017,model-visual-img-3,model-visual,Raster image,"Four equally sized computers, each displaying upload and download controls to show that every peer can provide and request files.","Four equally sized computers, each displaying upload and download controls to show that every peer can provide and request files.",Lesson content and applicable syllabus row,ApprovedBaseline,cf454d9c0f8787bbaa9af876298a8243a8ea9b1da2a3e9d53172e05307294442
017,model-visual-svg-4,model-visual,Inline SVG,Client-server network model,Four clients exchange requests and responses with one central server that provides a managed service.,Lesson content and applicable syllabus row,ApprovedBaseline,bb877034e982d96d69ef06fab3a20da9202e5075e4ddb1d9e0918021fd36730f
017,model-visual-svg-6,model-visual,Inline SVG,Client-server network model,Four clients exchange requests and responses with one central server that provides a managed service.,Lesson content and applicable syllabus row,ApprovedBaseline,e5f3174dc87b30009bc09cf23bb3bdc16595062320678e24471827453d360542
017,model-visual-ul-5,model-visual,HTML/CSS,One model has equal peers; the other has dedicated service roles,Define exact facts for manual review of One model has equal peers; the other has dedicated service roles.,Lesson content and applicable syllabus row,ApprovedBaseline,0f1d0fc40faba9969d85b59ac0f65c359b10fcd0c952f2bc54c7ec5a5b87124f
017,model-visual-ul-7,model-visual,HTML/CSS,One model has equal peers; the other has dedicated service roles,Define exact facts for manual review of One model has equal peers; the other has dedicated service roles.,Lesson content and applicable syllabus row,ApprovedBaseline,0f1d0fc40faba9969d85b59ac0f65c359b10fcd0c952f2bc54c7ec5a5b87124f
018,packet-journey-details-3,packet-journey,HTML/CSS,"One message, several routes, one reassembled result","Define exact facts for manual review of One message, several routes, one reassembled result.",Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
018,packet-journey-ol-2,packet-journey,HTML/CSS,"One message, several routes, one reassembled result","Define exact facts for manual review of One message, several routes, one reassembled result.",Lesson content and applicable syllabus row,ApprovedBaseline,cac54d708d99534a4de51767abb0840d96595af3a7a5a43bf1c919a3a1ebf838
018,packet-journey-svg-1,packet-journey,Inline SVG,Packet switching journey across alternative routes,A sender splits a message into three numbered packets. Routers send packets one and three on the upper route and packet two on the lower route. The receiver reorders the packets to recreate the message.,Lesson content and applicable syllabus row,ApprovedBaseline,80d4c820f44aa4569194894795bcc89bfbb168d367d8e382d1d7da740337ecb9
018,routeVisual,tool,HTML/CSS,Packet route simulator,Define exact facts for manual review of Packet route simulator.,Lesson content and applicable syllabus row,ApprovedBaseline,7a3828afb0d0dc0901b13e0e1c77fb4750f6608a3c33945f908661225e5a54f2
018,structure-div-1,structure,HTML/CSS,Packet structure diagram,Packet structure diagram,Lesson content and applicable syllabus row,ApprovedBaseline,ce14ddfd8bd5885ee9e7db32109a0458d956eba23aba7fba239e530a18f22d77
020,address-journey-details-3,address-journey,HTML/CSS,From a URL to a packet on the local link,Define exact facts for manual review of From a URL to a packet on the local link.,Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
020,address-journey-ol-2,address-journey,HTML/CSS,From a URL to a packet on the local link,Define exact facts for manual review of From a URL to a packet on the local link.,Lesson content and applicable syllabus row,ApprovedBaseline,cac54d708d99534a4de51767abb0840d96595af3a7a5a43bf1c919a3a1ebf838
020,address-journey-svg-1,address-journey,Inline SVG,"Roles of URL, DNS, IP address and MAC address","The user enters a URL. The domain-name part is sent to DNS, which returns an IP address. The IP address is used for routing between networks, while a MAC address identifies the network interface used for delivery on the current local link.",Lesson content and applicable syllabus row,ApprovedBaseline,57506232bf8cbbdfc54ffb295143c0093146d2bd93535183df92e6280ede67f7
023,lan-article-1,lan,HTML/CSS,Switches: forwarding inside a LAN,Define exact facts for manual review of Switches: forwarding inside a LAN.,Lesson content and applicable syllabus row,NeedsFactReview,aecb8860bb36d4a7320f5e02e159f59303208dd92ac80481bdc2cbc1f9c947d4
023,routing-article-1,routing,HTML/CSS,Routers: forwarding between networks,Define exact facts for manual review of Routers: forwarding between networks.,Lesson content and applicable syllabus row,NeedsFactReview,aecb8860bb36d4a7320f5e02e159f59303208dd92ac80481bdc2cbc1f9c947d4
030,explanation-primary-div-1,explanation-primary,HTML/CSS,Why active data stays close to the CPU,Define exact facts for manual review of Why active data stays close to the CPU.,Lesson content and applicable syllabus row,NeedsFactReview,58cfe18c3e9a5301aaf18ad7d225f7f5ba38bcea2a77ec6a2afb947866750d69
030,explanation-primary-img-2,explanation-primary,Raster image,"A restrained textbook illustration showing immediate trays, a working surface, fixed reference material and distant archive drawers.","A restrained textbook illustration showing immediate trays, a working surface, fixed reference material and distant archive drawers.",Lesson content and applicable syllabus row,NeedsFactReview,ea1a44e628f7f2892fa1d8a97c39b0f99344a3d9ff67d68ffe5cdd1456ad0374
031,storage-visual-details-2,storage-visual,HTML/CSS,Look at the storage mechanism before comparing performance,Define exact facts for manual review of Look at the storage mechanism before comparing performance.,Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
031,storage-visual-img-1,storage-visual,Raster image,"An opened magnetic hard disk with platter and actuator arm, an optical disc and drive, and a solid-state drive circuit board with flash-memory chips.","An opened magnetic hard disk with platter and actuator arm, an optical disc and drive, and a solid-state drive circuit board with flash-memory chips.",Lesson content and applicable syllabus row,ApprovedBaseline,e0d8fdfdc02f03cc5f353a4de005f1b2fb8255c86e5400851d35b792c95a52f1
034,control-details-3,control,HTML/CSS,Control systems use rules and feedback,Define exact facts for manual review of Control systems use rules and feedback.,Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
034,control-img-1,control,Raster image,"A greenhouse containing a temperature sensor, a controller box, and a ventilation fan with an open roof vent.","A greenhouse containing a temperature sensor, a controller box, and a ventilation fan with an open roof vent.",Lesson content and applicable syllabus row,ApprovedBaseline,afc3f919b0c2fb0731491946becfeb6919fd6273c8bd624843da8720290022ff
034,control-svg-2,control,Inline SVG,Control systems use rules and feedback,Define exact facts for manual review of Control systems use rules and feedback.,Lesson content and applicable syllabus row,ApprovedBaseline,9fd73986291eee173ecd8d48e21bfcd9ca32845ef594bd331359b77b62c4f166
035,gate-visual-details-3,gate-visual,HTML/CSS,"Six symbols, six exact output rules","Define exact facts for manual review of Six symbols, six exact output rules.",Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
035,gate-visual-ol-2,gate-visual,HTML/CSS,"Six symbols, six exact output rules","Define exact facts for manual review of Six symbols, six exact output rules.",Lesson content and applicable syllabus row,ApprovedBaseline,cac54d708d99534a4de51767abb0840d96595af3a7a5a43bf1c919a3a1ebf838
035,gate-visual-svg-1,gate-visual,Inline SVG,Standard symbols and output rules for six logic gates,NOT is a triangle with an output bubble. AND has a flat input side and curved output side. OR has curved sides. NAND and NOR add an output bubble to AND and OR. XOR adds a second curved line on the input side of OR.,Lesson content and applicable syllabus row,ApprovedBaseline,d970c9ba554d4510d13ed699fd3b54aafe7bbbd98683b96ceceb99c37a4947b3
035,gates-div-1,gates,HTML/CSS,Logic gate rules,Logic gate rules,Lesson content and applicable syllabus row,ApprovedBaseline,96d19c310b967a47266fe5f45f487bdfb3de9faa5876b23ad05662f6c79ab6e9
035,overview-div-1,overview,HTML/CSS,Logic gate expression,Logic gate expression,Lesson content and applicable syllabus row,ApprovedBaseline,91699ce4a173bc858b0c218e232fb8f283cbc4e41158801ff60059a5e924be01
036,overview-div-1,overview,HTML/CSS,Boolean expression,Boolean expression,Lesson content and applicable syllabus row,NeedsFactReview,087de6ee94ce6687d879e7575f9a6f4f2c4c1c2eab7545dbbbfa8ecb2b0a0423
037,overview-div-1,overview,HTML/CSS,Circuit expression,Circuit expression,Lesson content and applicable syllabus row,NeedsFactReview,e1657309449b2bc2a344e38ae9001b55b779473ad38902cdac69148da51249ce
041,architecture-div-1,architecture,HTML/CSS,CPU architecture is about cooperating parts,Define exact facts for manual review of CPU architecture is about cooperating parts.,Lesson content and applicable syllabus row,ApprovedBaseline,18c5b257583aca47247fe67988a66d089ebf58f9bdfcbfa27b6d8a7ef3df534a
041,cpu-map-details-3,cpu-map,HTML/CSS,"Inside the CPU, outside the CPU, and what connects them","Define exact facts for manual review of Inside the CPU, outside the CPU, and what connects them.",Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
041,cpu-map-ol-2,cpu-map,HTML/CSS,"Inside the CPU, outside the CPU, and what connects them","Define exact facts for manual review of Inside the CPU, outside the CPU, and what connects them.",Lesson content and applicable syllabus row,ApprovedBaseline,cac54d708d99534a4de51767abb0840d96595af3a7a5a43bf1c919a3a1ebf838
041,cpu-map-svg-1,cpu-map,Inline SVG,CPU architecture and system buses,"A CPU contains the control unit, arithmetic logic unit, registers and clock. Main memory sits outside the CPU. The address bus points from CPU to memory, while data and control buses carry signals between them.",Lesson content and applicable syllabus row,ApprovedBaseline,21abb0ef7af9a2d080d837f11eb94a095596edeefa1627a7e20ceef3ad3cd9e9
041,explanation-architecture-div-1,explanation-architecture,HTML/CSS,Why a CPU divides specialised work,Define exact facts for manual review of Why a CPU divides specialised work.,Lesson content and applicable syllabus row,ApprovedBaseline,58cfe18c3e9a5301aaf18ad7d225f7f5ba38bcea2a77ec6a2afb947866750d69
041,explanation-architecture-img-2,explanation-architecture,Raster image,"A textbook-style laboratory workflow with a controller, small holding trays, parallel channels and a processing machine.","A textbook-style laboratory workflow with a controller, small holding trays, parallel channels and a processing machine.",Lesson content and applicable syllabus row,ApprovedBaseline,a56401b120b0a346f1d15dc4c6b72bb5e5165e4fe413d6e6d517a9318a3ff560
042,cycle-div-1,cycle,HTML/CSS,The cycle in one clean sentence,Define exact facts for manual review of The cycle in one clean sentence.,Lesson content and applicable syllabus row,ApprovedBaseline,f365454f3ec60e43c574518b8f492cce30e50a877a018c8d844f66914932244c
042,cycle-visual-details-3,cycle-visual,HTML/CSS,Trace one instruction through the fetch stage,Define exact facts for manual review of Trace one instruction through the fetch stage.,Lesson content and applicable syllabus row,ApprovedBaseline,7b98969bb0ebc2044d71f17686f6890a8abb96d658fa89ac3686f6a5380154f1
042,cycle-visual-ol-2,cycle-visual,HTML/CSS,Trace one instruction through the fetch stage,Define exact facts for manual review of Trace one instruction through the fetch stage.,Lesson content and applicable syllabus row,ApprovedBaseline,cac54d708d99534a4de51767abb0840d96595af3a7a5a43bf1c919a3a1ebf838
042,cycle-visual-svg-1,cycle-visual,Inline SVG,"Fetch, decode and execute register sequence","The Program Counter address is copied to the Memory Address Register. Memory is read and returns the instruction to the Memory Data Register. The instruction is copied to the Current Instruction Register, the Program Counter is incremented, the Control Unit decodes the instruction, and the CPU executes it before repeating the cycle.",Lesson content and applicable syllabus row,ApprovedBaseline,98fc51b0c19c8721fab854d1e07f1f277a7ceccab61e57747d49cc939e641fd5
042,overview-div-1,overview,HTML/CSS,The CPU follows a routine. It is not improvising jazz with your instructions.,Define exact facts for manual review of The CPU follows a routine. It is not improvising jazz with your instructions..,Lesson content and applicable syllabus row,ApprovedBaseline,59ef1f5bd9e4dba6eb540a0cedc4700aa825ac821ea15b540513fdef8aeb5606
043,planned-043,planned,HTML and SVG,Processor registers,PC address; MAR address; MDR data; CIR instruction; ACC result,Cambridge 9618 syllabus and lesson content,Planned,
048,planned-048,planned,SVG,Interrupt handling,Current state saved; handler runs; state restored; program resumes,Cambridge 9618 syllabus and lesson content,Planned,
050,overview-div-1,overview,HTML/CSS,Pipeline sketch,Pipeline sketch,Lesson content and applicable syllabus row,NeedsFactReview,bc8f39398a24d34db834a6db9f87a3a0a699824fed76a012da9d03f7af75a59c
053,explanation-concept-div-1,explanation-concept,HTML/CSS,Why applications need an operating system,Define exact facts for manual review of Why applications need an operating system.,Lesson content and applicable syllabus row,NeedsFactReview,58cfe18c3e9a5301aaf18ad7d225f7f5ba38bcea2a77ec6a2afb947866750d69
053,explanation-concept-img-2,explanation-concept,Raster image,"A textbook-style control centre allocating separated areas, queues and storage blocks to several tasks.","A textbook-style control centre allocating separated areas, queues and storage blocks to several tasks.",Lesson content and applicable syllabus row,NeedsFactReview,5dec826538648199ba638b74eb88b746e6785a84110d828f1029490d894d9909
057,overview-div-1,overview,HTML/CSS,Compilation pipeline,Compilation pipeline,Lesson content and applicable syllabus row,NeedsFactReview,e33cab964ea0e55d2241ca8ff2e9f76c549172e607a704a0500ddd966244d930
057,overview-div-2,overview,HTML/CSS,A compiler is not one giant button. It is a careful sequence of checks and transformations.,Define exact facts for manual review of A compiler is not one giant button. It is a careful sequence of checks and transformations..,Lesson content and applicable syllabus row,NeedsFactReview,d288137facc5f0d93a3d2f9cdbb14beaf6a8d142168280efd86b00a2b0403d32
060,overview-div-1,overview,HTML/CSS,Translation choice sketch,Translation choice sketch,Lesson content and applicable syllabus row,NeedsFactReview,6e452cdd092697c5d272f82beab3bd7a3c761cb129187f4ccf091cabdabd0e50
060,pipeline-div-1,pipeline,HTML/CSS,Translation pipeline,Translation pipeline,Lesson content and applicable syllabus row,NeedsFactReview,56f59bb84c776895208f76b5492eb7def1faac2cda5a9b056baed41106d2f725
