"page","kind","desktop_1440","mobile_390","console","status","content_hash","reviewer","review_round","evidence","approval_source"
"lesson-008","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f1c4d85f4d8cadbc3a499f49533091d7f58d85179fa1a6f70ae01594a9289a96","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-008","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-009","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","fd955b9b49164ceb6a45f32c8e6297ba7104656e067d934331bf7d1f707a2ea6","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-009","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-010","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3d1fbe30c71ffcbacee9f89c11d5771fc743b08c4f3bd42ec186dbf0e843198a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-010","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-011","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","091a69e2db0d78020aec8358631b4a23bb2c41ce068d1905c426aa6a76f58a49","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-011","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-012","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3030f192649ad98e04ec502cf72bcb02c4ba3143ecd680f66cc77b9d55c188fd","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-012","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-013","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2ad9c02ac7ba07e69edf53eec40f1df2318fc328c7cd3e2335f091fb3ddb64c8","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-013","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-014","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","95bb4366e0c6169c93d545007bda20ae393e0f08e6dd917e2dc6ab5099c3c58c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-014","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-015","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","ef4af9fe170e5a4272cd00cf7f2584e7494d550da4a1f9391513180e031a03c0","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-015","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-016","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a23ba4a879aa6212da51e2258440ca555233ac1af4af5a3f732ed6d12e1ca44a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-016","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-017","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","49fa148ae2d65114fb641d6d255412567697491c342e445396ac884780b77f83","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-017","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-018","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","6a5c9521ddc4df9a183d6d386723bf8e928b11401d03696ee9596cbc434fe515","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-018","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-019","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f0517f184ffec7ffba35793e3cb76c3f883b05fa3031e2e69a051e43b0c3b242","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-019","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-020","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","c29fa9b0c99e0077de31b2e99db7691afd85bf677276858ec7098b33772a421d","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-020","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-021","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f3bdc8e509ea3c5f17e02b7f07a8e323832224d6f714367a105f6abd1822edd5","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-021","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-022","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","7b1aa914ffa35a8a171ab002ff2ad7acf0f019908d0bd881ab7c390bcaeb413c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-022","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-023","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","fc63c5285f6b96de36c79e9e1f81f93ac771fcccdb1473fc2b899fab8fe1bc51","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-023","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-024","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","699f6b60d910fcc49522cbaae540c3376bc0fed359105bc3d9bb514c8f213754","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-024","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-025","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3ab9d141c5341e557a5ee71198cc76ec4cc4aa8d80cffcb4c06e8b7ab8079f56","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-025","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-026","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","54e18f1dbed65c78a0354435305a47096590322304b9d04e5a13fccdddf60d26","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-026","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-027","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","586969444bdb143b90f4317ac5f78331f2c1e88236498ccddb62947443c365df","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-027","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-028","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","f8f01af0a33b176293d17a6fb2e454f2bf633d0cd17559056e1401a949eda788","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-028","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-029","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","983f2c42919d08d6614c4a30679959e86abe5722b052af1dfee63745b9bb32c8","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-029","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-030","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","b7e75407cd1428aac4c0c29a17c76f135ed1045018fff04f72bdd1c332fdcb25","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-030","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-031","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","fd80318dc0ed2c43a6a46c1e58cfb16166f94cc23f83911f3bb6b49fb6b0fad1","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-031","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-032","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a1ac22a8d3ac84c90d947e6145d7ae58af32ee7b661dcf0a3feb372ca58e8231","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-032","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-033","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","1f30e61b7611859e6198f3274987c0f31f36de7a61b19cc66db08630e99022a1","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-033","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-034","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","bf5112543f3b32c5aa7198083afaf179df5848985e55bab704c2445be58b97d7","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-034","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-035","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a58215e73520d0e7c500c0ec0bf34fdd757d5996c53f2f8ee4b21932c0750114","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-035","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-036","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","6b80bdc2062445a2301d00f9b2bc54436e5f14ca708adfc20650bdb303769c09","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-036","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-037","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","86ad52c79812a193e03489e5bfaca109a9403a82df9c68b656bff79e6cfc508d","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-037","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-038","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","314cb516678c470c7da2fecdace389c20ee6356835d0ffceb92026fddb8389a0","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-038","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-039","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d176e1453992b6dbf4e1ea0b26152dd916fd86c8c4d92162ee67ce85ed2d4e56","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-039","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-040","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3a25a404992c5dde3bd8dde05b043a518406388d5e82a554c7cc391faacdca00","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-040","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-041","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a5e4b3d396a047f547cd26d04f4290f009a79222cd78e188bdcc45ceb2b4c46b","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-041","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-042","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","95712b5a55abf23bde5ff90841011610c4e8031e0b97b06d4d7a730dcbd74c9e","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-042","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-043","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","c70309e4084726952b8f30012cd8a9bec783eab2c810d79f0b4421dfb6f45ff8","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-043","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-044","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","296c56e251097b5341355a9fa98399c1361219e08c3ceaee4e4a46316218ac16","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-044","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-045","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","8bed6d1c4c365363764b7edd4506f8deeea3f959832c1fe0f31e6a604d95b618","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-045","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-046","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","72a3afe4d108c2a6cd43ff2e0be97c0cbe579b417c079be13fe81a374bb86458","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-046","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-047","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","a75400f05fda6cc1e7be9d27345f6b72bcf9da79e389fbaf43eb58facf3af69e","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-047","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-048","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","637293c9ece655330f19a7a9e917f2ad4d38e81345c19958a2cc3de8a3b49098","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-048","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-049","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3e4e0ca87aa1266052193e4279e4b23a97823c6bb3961bf042ebe8e0dec53099","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-049","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-050","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","e16bf6746149afc747d2a708e8f013b9147026bfe1b5c03ec17293f7d9b45263","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-050","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-051","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","6b0f904e23ee2d4b64e346e0aad98997b769067078b710d2921a16c3f4f7606a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-051","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-052","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","b60829349b9075577159b5acc303f2a9d05998a018a34bd293f865420eb0b09a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-052","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-053","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","07edf4b83f44b46bb3de9f7cae620a82abac3a4b4a5b53bec68110fa1d0d1cd4","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-053","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-054","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","73de64983c86adc45827a3518157ed3575f406ba9113bad6f65f10bce118c8d4","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-054","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-055","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","5d11fcaf848761ef01db43a56d341a7753b417ca81fc0d73b4ee02b6565a34bd","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-055","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-056","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","9a977b2c532298dd76217151147fee4bb1f9b4e8a14c886c9ae34503c7a06e25","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-056","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-057","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","98e6d56808a75b36ac7569839a8911a468971453348263b571748ff9e4132c99","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-057","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-058","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","08a83436de0cbfdff75dd0701e2ce2d6dda0d40c89b355b47689cf3a99b44668","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-058","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-059","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2153fbd3cec47318699c2ad995cb763aa9fd5e425e8d85e66aaed89ec384ba02","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-059","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-060","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","532660bb1b0e4afaca35f4c0be0115d1aa99c0b88b6320654fc6c6fb22859ab9","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-060","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-061","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","10380498a4aa8bf7b1b59d74d4c132405d43baa6fc7cd134a8f01a5bac52943a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-061","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-062","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","749f7dbf5e430df7b90fc313298a4ad37f6936fcd7d9059f01628ac4549e5fd3","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-062","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-063","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","3d71f3ccd81914086241dd9132856d93deeecf8655d818e7e4cbe9829d4afcb3","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-063","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-064","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","52bfa666d26efb7e31c3d10830ee2107229f8dd844f8e834cab91c4615e8a595","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-064","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-065","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d9decfb813d4cc31cc351d1f9fe0f7ba61dde22db4efadd405e99d879a0e5e72","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-065","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-066","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","360e312f8097aa9f043c206bd35cd5de65d3ad84d47fd0e2a93f48b1bd89d75c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-066","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-067","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","fd379feea11867fe71b55723c2269421e2406240ddac9edad67f29424b800954","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-067","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-068","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","cb6b60548f52e0f9659932949174140df3fc100834ef53dbd5d87e535dc134ed","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-068","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-069","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","498630f6c100becb3def30f0209296557eb932d476430ed8b3d35de123a25e2c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-069","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-070","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","d53e6c0d2e6a63c73413f74f9f96820cc14ef1085324fcd37ed6ab21a7536ef4","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-070","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-071","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","62086da87c71eeca5470584da69873d55454d451b40c2e309e41a73c6d9a8ff5","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-071","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-072","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2293c23982640b1598d45ff039deefa502a9c73a656402bd9d3a79397eb01870","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-072","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-073","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","854f7168aaa8e8c014674790d0db2aede2d9708dc5b45d79b40e19a58b66b10c","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-073","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-074","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4d096b57d0ec9fe2a578a66fc2636bb1cbf9a1d75fae3a2d54d190fbc0562767","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-074","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-075","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","1cb87d263b6c43eceef413c985ed2a2b3304b4ca1dcb23d553a97c3576fd7349","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-075","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-076","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","6095cec91dd117f176a497f1830d002b13e32707fa4aba28ad86a6438d99fd7a","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-076","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-077","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4791cd5a13e5f55c04443862849f767988b205a1b1b56862ac1fe5dd17cbf402","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-077","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-078","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","ccda437ef379a4324009335f6d30f1b2a3f3081aea2144de0783cf4c90dcb0b3","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-078","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-079","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","0eefe78a32c45f27aee343094eee03cd6de930c7852b0db194052fb8243287d0","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-079","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-080","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","2389c7edd9d49134c3eba0f86efef9e375e34e2de28d509897072effb8f31b01","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-080","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-081","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","94b4caeef0e7f91bd06effc526636b04c75256b70c775d429fd144de5374d6b8","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-081","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-082","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","747857f90304a61554caa53ddcf3b8bcf5d869231a239738a6c491b49e199039","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-082","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
"lesson-083","lesson","Pass","Pass","Pass","ApprovedCurrentBrowser","4d01e9165fa81bc5edf1fa797c9e9e6c9ee8391f49402ea5d74b5839ddb023a7","Codex in-app Browser QA","stage6-browser-r1","audits/remediation-v2-stage6-browser-evidence.json#lesson-083","Fresh 1440x900 and 390x844 current-page records; no legacy approval imported"
