page,semantics,keyboard,contrast,language,status,content_hash,reviewer,review_round,evidence
lesson-025,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,1d7a182e43f49134caded6468b5fa7249a5602a36498bc8ea0e4262eba3a941d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-026,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,fa5ed6f2b96ce3975c4b90ad60337bf1f50f5c7db351eadd6d515a9535f63531,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-027,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,34308c3c43cfe24393bf1d0209aef9fd5e06345dd31b78940cc643950e290e5a,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-028,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,7379f779d4c52af26974a0720a7a4241c3dc54004b379fd6acd65e971ae0d48f,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-029,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,23d18ccb7cf82513e2fe498380a074323f2e4ab9807a29f55503e07e4c575a4f,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-030,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,26c04abade87971fa7592db23bc92f29d46f44d0904cf50c51b8f4130f4d3403,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-031,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,a3414180f1188b1a7170a1de5b4363df368fe2d7956081f63f9dc76744ca6139,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-032,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,e16ceefedd5cc43ae0ff7cadefb57240bb15f6f2481ddef5f65f2f2f4244f7e0,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-033,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,181197404ca3e08b97f70bc18dd8fba2a28f2782e6c73bfa478695a443f33a7c,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-034,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,a054d19bf061593883079385f2f7c5b0ac03ea21837b5b62b44f9072cc84eb2b,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-035,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ef5fe45dd2306f8aa84b2b69213518e81caa7196a28addaa8dc96b6504466d91,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-036,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,9c07cbeacb9e9b8a8af5d6c8f8ac7f224b88b2049847d5db189057b5d888126e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-037,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,d739d6941677a76833ab8b9dea0f57c0e35ce9be83bdc4450f2c9ae21c596597,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-038,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,1c7f99ff571d281e27d5545dd6f4291b6757e3f56ecc2b2bfb7e66ffef1afebc,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-039,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,0ed6fdbdc56fd5dab36aa4f2b6617c2435c5411900c7429d666acf4cdfff0d48,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-040,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,21ff4c9cf04f1b55d7ae58744e34a8e4dbb0f33b0ba148dcca2e9ef4affefece,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-041,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,b7ca750f06833f886ca73086aa8cbe9816d9af7e9f98bcea6ee9bc6e054c3e15,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-042,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,49f2002b8da407504caad60b6017b8a4199739e3cf8bc47724d39708895ac9fc,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-043,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,6f4be6029950a0c9e0012ae1bb67e1d75ab6130d2577abb691e54f5b7c54cafb,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-044,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,1aa089eb9008fa75061e19b5fd74c697fa70e408c9fa8c2c318d6f7cd64ae0c6,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-045,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,dea86599693d0c307dd7c55a509b74c1fce7015c89f87f6d9b4bcf0e745bfae9,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-046,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,091fd86153a0a76bde56076a8c5cdf91896a4a411e8fd89b49f753b53a2503fe,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-047,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,12604c9ac0b9f573970df4bfc267abf70c1148e1a45ebde05ee0c6b8356fb754,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-048,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ffa357fee893c922520952aa613f53fb56e16b248648bdd7170bed034736c97c,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-049,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,d91ac7eca7402e70d85e14879ccba4b0803867aff28e08be6a0185438c1335ad,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-050,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,bb23dc35e18cbc34d3d464ed75d9fb5d90c50c42cdb6a6da35e562b1ed51f1f5,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-051,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,b5c25faaa508f80045623eb4d7c08da7cb8df76bc4500eb5587beb3dcba59973,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-052,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,bb2087b55aff1dd30ca5355faa730f74b76c309f8725feb1adac603a59191ab1,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-053,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ea8a7619d02cea0b1b0bf8461feb1555d3222b4f8e8f44f65377e9ad9d20a2df,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-054,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,bb204152e1c813805d23209ed05d37849998a13f4a89fd6d47aedae6a84d237e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-055,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,a30f62e9991679d40ac325cc1e03e96a0db9c6872ef34f6a652c2863a8ae1667,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-056,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ff65054d08d4c1ad66dae056a8807691d996b17562e02ea38f13c9144fc5f929,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-057,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,7e05515306bb90939493583ea7c5b413cc19cc8ae63b9129a1a4a2ee74bc35d0,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-058,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,e1169a9e02748865f66c589709a9f7ce6bb8e10dfea6ea161616e2117b995386,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-059,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,d6cb1f537f9871fa8755548a46734f462209787a29e99da47eb9e09ba31ca7f9,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-060,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,4ce7ee4256fed71c91a73c5a10500575226e9d5a06c2bcabf34e6a7a27e3f565,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-061,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,d40ad0e6191828dab699ae4a35fa31e3e9ea0ffa392c3a106ad3d50e415d74bc,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-062,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,25e7172a9614af9bbcb1596a0b33caa1675960dd1ed048c221fca3290ab777ed,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-063,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,5c8b059dbf4c63b221fa9594e45bac192054963b3887e648e4bd64dfc7fb7a9e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-064,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,53171cdd9440898c4ec98e715eb84d5de3248541bee1700d62c3c73126be188f,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-065,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,42174f3455e91baafd21b514d387b1dbd4abd79493a05ff05a154599ddd9f1cd,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-066,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,e210f681b79455b75c5484c4a68a4477e368b05dcd57086cca6603364be1c54e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-067,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,d974cd383168baced2676774919bd14d618abffc452c880cff66f9f3fb93c944,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-068,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,6ffe76d5d054387eacf67494c2e36171bfeb786677aa48612f91c8dde0396d5e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-069,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,0bf2fb004207db2079ee452bb9f81278a79656e5bfc7e81634cba139ba60ad0e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-070,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,f61393d3ed2360d2f2ce65d290e0d6f7b85bfc94646d0c1e328561503881dbc0,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-071,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,480b24f52872fd7c13aade8d95b6a48c84eeff44e5b32b39862bdde1f52bad8c,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-072,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,011667003afeed5603a41a61e6086c98df8462e49f196155f52b1472ea179d63,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-073,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,6080c541ddbee243c33eca88f8cd498384dc242a0e86b005e0f25755666483fe,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-074,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,fdafeb86bd83807200584d3f33821721b3cea4b1ef1b829421008e94c40b24a4,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-075,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,1540a4f814655004a2e04ad99da75550dc2cf330ff72bb84b3afc541cbdda940,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-076,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,10f34f2339f263352d6806329957c77597efdebf1c24cda66ff7402d247873b5,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-077,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,bc8a364edd8b920e45b207b698ab72ea721de5f3942d146e15fd9402113ed02a,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-078,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,f80c5125eb6630d7a0b77077a02074c6d5a19c86bfaab5903a85d26ee77b89e7,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-079,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,46edec4b66844adfd13ecfc82a57909fa4107d510c10e9eeb33da8861b15844d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-080,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,2b09bdfd6c6e623e57e5e05c19e9296c2e0d905b6772a3101ba6115aeb9426fa,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-081,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,59dedec2edceccd9a3f805a479833e8a76a6cc9884992ca233da2f991e0fd368,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-082,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,90454a129b753664922ae3be949cd79c35ed57232e52e45db57bb4fd87c5434d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-083,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,9f0d22e092fb1f8a8647a06a93e42afb2de7e377c16422d5366eb471c2e5d166,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-084,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,fa79e624d31c8e6aff67a4c2510b1ff6014df9d6d84d7ccf6b2eb7f4c3dd77a8,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-085,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,033871b9ab08db701962eedb467a3a956c54abf4de57f1fcfe87ad894e28b70a,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-086,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,c257b4ff47c4fd9b0061c273478c30ae5a0b2428f0e83114f4914c053756772a,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-087,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,439e1a4eb00a1aad47a47149c146923e011c6b8357f6f88d67a3109000252431,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-088,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,188f9f5a777c7c804b891be27fc4e004929171f12c3ac7ba9415f080e4d53b32,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-089,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,33f30dfc3bd622198a3e785b667d807e875e91aeaf4b2b077f13394569785057,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-090,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ba25738207a3a510eaa7a4fbddcd30162d816cd017ccb6520d2c18933fe94271,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-091,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,d727547b4d365c3be274645e3f38a073ed2368597f6bc0cec08f367bee04ddc9,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-092,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,ff31ab1770ea6909d4e1b05621d9c3eb2c298e92abb741b292cf32d226d9786d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-093,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,6fc3bee6224d5e01dde7a9510cb7726d9fca35e443824618aa9df7366a113e85,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-094,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,7ae015ec5e65b48b0a210a574a9425a2d8d8d83ca43111199eb31e194a9b9b8d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-095,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,82b500c41df0c3db5ffaa160a3f38499d5fccb977ea442ab93b0a8e033ce9036,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-096,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,094983b22d0c3eca7ca8ad06a2130d0848f0cc64c45b8bb8efb627bb76cf040c,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-097,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,dadc914a62d8b9e3b2fdd843ea678dfa5a7aa4d7a560d85e108bcbc0450a130f,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-098,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,a60de6b93dd60cb084bf5a6453ece384620066b945be091cae1bb65caae3b26e,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-099,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,8822ed40a0c6e3f5d2ca88bc88639a162785d8e64706a0897a79857149893da4,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-100,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,72b83d81cbb0bf12cc2496922e1d1150e369b9fd517d4534c57d16cd199533b8,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-101,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,bfdb7fb53e45ec91832ef63d87a41f5a0c43f162acc9d7f4af1df4757c874545,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-102,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,1734f6bedc6a73c5933d51e1bcdc3ebaca0af7bf26d97001265b2f93485f12d3,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-103,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,f5f3c30b819a645ffe9dab056ef7ce95e38534612ee57643c3ed76a4d3991f63,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-104,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,4ed9d401610a3e9e738071219d8c7a56c497e0ac16bf5363718304062292cac2,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-105,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,4c0c1986884ad1d84143acc6de520a9776e19f84db4c44923083571b079e7e87,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-106,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,3745168a06fa5141f4ff49a2a7b3689fac77634fbb409b8c1d274917be51c006,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-107,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,e49569a0a5fa89dc64a34fa90197f222ec06447f19c31451889e3e374b4a7a3d,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
lesson-108,Pass,Pass,Pass,Pass,ReviewedCurrentBrowser,54b6f832d9b562d10ecb631b44d698c8afc3f8f2f55e01c65d59261633d39ecd,Codex independent final gate,remediation-v2-stage7-r1,audits/remediation-v2-stage7-browser-evidence.json
