id,source,lesson,section,marks,status,content_hash,second_review
L005-Q4,lesson,5,1,4,Approved,00475a46a6e8ca2f6f9ac276dcea0d7c143a93dc68c8a28859986e2e673f8f6a,-
L005-Q5,lesson,5,1,3,Approved,4aea9a029aa3da7df3a3aa807861e694b087b56a3cd677ced44e941e9af1f964,-
L006-Q1,lesson,6,1,3,Approved,608126398147f69b904332dcf0311e02e5d312613eef0bf53d32765c466ca5b6,-
L006-Q2,lesson,6,1,3,Approved,1c2aef5bb03b6229a00696d82b019149d909ca64b4ccd2c6dcb11c226cdcc668,-
L006-Q3,lesson,6,1,4,Approved,a09abec856b0afc978e6eaa44116c51438b293ff7a463ed1c0444e62299b2b8e,-
L006-Q4,lesson,6,1,4,Approved,75413544a93d2cd33cf8e0569aea82c7118828500b8597b86097ff87d2d64d8f,-
L006-Q5,lesson,6,1,3,Approved,90fe2b052d68f5eac2b7e26ac891fe9227cfed3fe8f6f88ab1b2cb8ba1c10ccd,-
L007-Q1,lesson,7,1,3,Approved,6eb9b4e4dc820e6dd0b6e25fa91588437f8bd4b22223a840b3c31cf9be078fe4,-
L007-Q2,lesson,7,1,4,Approved,b1c749898e975a8f7bbde99a07262d3e9d58ba44e4c9e8999e7e12be0b19e049,-
L007-Q3,lesson,7,1,4,Approved,cca3b925d95602cdaf62583aac556a984439d445bd3b2e06a83ec3a5f1fd16ea,-
L007-Q4,lesson,7,1,3,Approved,875b5fbfa937346bb3571460a6fcfed65fbe0e13b63c701077865b5035f42574,-
L007-Q5,lesson,7,1,3,Approved,4ac4a6587fb6e9de310ab30a2ced05b7d64c62c5ac10a1c587fe3d08ee3e6865,-
L008-Q1,lesson,8,1,4,Approved,7c79f337bc367961aff7d3f05a88c1b2160555f382af309c7c2648d5f82fbca9,-
L008-Q2,lesson,8,1,3,Approved,24825f8ef55564fcee5a8d8738594d60c673b3334fc100cb1a9b25660373dd32,-
L008-Q3,lesson,8,1,4,Approved,9217c3ed23ce3a5a99267e6bfddc8a52b41156e79406afe0f4a268ac2338b058,-
L008-Q4,lesson,8,1,3,Approved,2882db674237591be0bd85658a73300427ef373f867d6bc8adc84eb22ae56281,-
L008-Q5,lesson,8,1,4,Approved,5291a0b91efe02eea106532b018f36d0fe7cec69884f4f5b3aa904fd3bbd3215,-
L009-Q1,lesson,9,1,4,Approved,4a963a5ffdc50a51b850c1c2ef10c5ec312dbdea28a51e06ffc42e787bd443d6,-
L009-Q2,lesson,9,1,4,Approved,65d5c936c328cbebb0957bc7f8b7926e8921aeb84c33d7150b0feeb68b986053,-
L009-Q3,lesson,9,1,3,Approved,bf08473a4b6a896c03c40f3ccbebd68fbb9f4e19f4e94c08c959ed2ff8958e38,-
L009-Q4,lesson,9,1,4,Approved,eef7d8ce86682df313757144e4232d96315c7333b3055b03d3b2eaddd14b7bbe,-
L009-Q5,lesson,9,1,4,Approved,254420778be2996cea7bc259e57e22be2cd7d93b2661a2819970735de991445c,-
L010-Q1,lesson,10,1,3,Approved,6ca30e995f03be3d7bc0eebd65ebfeacf59a3f1766a7eccc2e4a742830aef7d5,-
L010-Q2,lesson,10,1,2,Approved,9929c1e8da417e9daa7977ec057a94914bb7a0aeb2f51c47eed7ba3a149e72ef,-
L010-Q3,lesson,10,1,3,Approved,7602b4dc6a3c38fd74c6c5fcff992adddf52e59890d28937312146e84fd49329,-
L010-Q4,lesson,10,1,3,Approved,96de2ce6980246e8da82e569f348e05126727ac1d9475120242ae8b94d3237e8,-
L010-Q5,lesson,10,1,4,Approved,66e76d1ec937a1dcfa18b77ab98834bb5cf6b63336f9add5fc4eccbfe0ecb596,-
L011-Q1,lesson,11,1,4,Approved,796c04c0ddf9ea938ff0e74e03f609117edaf45b3c10d60468c077bfc0293997,-
L011-Q2,lesson,11,1,3,Approved,3c4b35064e2154e935ea30bf025a19918e30b4a4297b3d1a3193250101c93718,-
L011-Q3,lesson,11,1,3,Approved,84162a1b502a2c13644f7a43444bdd44a2e06385cdfb8c746febb8ce5a4c15e9,-
L011-Q4,lesson,11,1,4,Approved,8211359d92df38d09156abe3527415b84d721f1a4feb1ea976c0d0ad3ca82edf,-
L011-Q5,lesson,11,1,3,Approved,2bb90b9d8c168c3aa1109243640e55f827b36459c613cb9b3b3c57ca965693e8,-
L012-Q1,lesson,12,1,4,Approved,c496a542664ad54e774ff5000c5f38d4029522c091a95ab26df9be57012b858a,-
L012-Q2,lesson,12,1,3,Approved,c5334fdcb7e839bd526f2edd66968501747150cb78496dd52875b08195bc755f,-
L012-Q3,lesson,12,1,4,Approved,ae2453d2f46d6521e72ba006c9c633d32a403585274158c9eeb6ef351246b947,-
L012-Q4,lesson,12,1,4,Approved,774f6239b1ac4b8c73450029234d1e2e0c38514c2c0e899385eed09fc66689f8,-
L012-Q5,lesson,12,1,4,Approved,a0e52fc05a42881b98c13e08a1439c3fa95ed1e239186a680a386bb06b191d73,-
L013-Q1,lesson,13,1,4,Approved,83145d5df899bbae29b720470ef9710b024dad98f88511db2497f2115fc43feb,-
L013-Q2,lesson,13,1,3,Approved,0593e503953d48f6a4c596ccaff572b326c044414f85b9b16ca21905f8931f88,-
L013-Q3,lesson,13,1,4,Approved,59e35368d4086ad03a8e5190a13993d8a5c579b0292d7ee1521d65dca78dafe1,-
L013-Q4,lesson,13,1,3,Approved,90cc80faab1e362d0754398b2c48739dd8d463a2d3d4d66f1c4d2f383bd383eb,-
L013-Q5,lesson,13,1,8,Approved,d4c5eea7794753a59ef80d88d7574aab76613c45f52ecb38530d7640da1c60fd,-
L014-Q1,lesson,14,1,3,Approved,f528a3b19940fbeec26f9fd762d853b1652be31fa4a750759b93eb00cbe5184d,-
L014-Q2,lesson,14,1,3,Approved,de351cc47f3ba3de685b44d8f61ec9d2aae6117a14a5f8a1360dd208b4b41f1e,-
L014-Q3,lesson,14,1,4,Approved,522eac01e27d9cf294db41f66a19d4c7606001c7a0a6c69531bd7354ba42295f,-
L014-Q4,lesson,14,1,4,Approved,a4b7c35c4471e97f92fd7cc12226fa3b2657eecb4e03bb2fec5cf9f444b0d437,-
L014-Q5,lesson,14,1,3,Approved,3fbdfd20d4312afd37f9a3e076281fd5799109d3ebe421d7bf9cf3b8a2b75cbf,-
L015-Q1,lesson,15,1,4,Approved,b725bb89899420a17d7363769fdae8aeb4539be16f93895c2bb05e1cdef0f3ff,-
L015-Q2,lesson,15,1,4,Approved,6a0760002aa61cbe33d8c02b744674722d431862d37e48da3ad59d1d1571161b,-
L015-Q3,lesson,15,1,4,Approved,01cad1cd685936df8263293ae41e53dc25a439853fffcefb4d645e58cb950652,-
L015-Q4,lesson,15,1,5,Approved,1d90d00c546c185458dc63934376120ae747159ba92f10109fe1125c9a68fae0,-
L015-Q5,lesson,15,1,3,Approved,efe4a4dc6014c616f0c305f6715c8002e5516b5ce5bb2bf76feb5adeaccddbbb,-
L016-Q1,lesson,16,1,4,Approved,38ccec6b2d08fb0471cdebf52e448dc8e4b48745b3533a5d6adca3e869dddc5c,-
L016-Q2,lesson,16,1,4,Approved,37a309a4961191a1ea1e2df77429de22dd8ea380add701e36be52039eca87a5a,-
L016-Q3,lesson,16,1,3,Approved,49ce136051929d213ed4d364028117e2168533a4d4df0f186c9e91aeca0708e8,-
L016-Q4,lesson,16,1,5,Approved,5783627785ba48cef7377a00d686b8bbd6bd7d3b57631a132a8c16c6817eba57,-
L016-Q5,lesson,16,1,6,Approved,fa4f8efc81e69937042cf9c857e59401e7cdd6751bd4b18b64b43417388bb2b0,-
L017-Q1,lesson,17,2,4,Approved,ec7d30b9cdc50a25dab9b9e42e08443ee8efa1a0e0b8f67dbececd41c3816db2,-
L017-Q2,lesson,17,2,4,Approved,78e4a51700b88976b5710a713e55123252d560967f87a3275156242522bfe9c6,-
L017-Q3,lesson,17,2,5,Approved,96da383a046d99199a3e18ae6f85474d4c9a7522d269a012e1741806bbf9ea5a,-
L017-Q4,lesson,17,2,4,Approved,865bd07362565889be0f9675781c16a9ced434d4bd6bf9e90385b2cb1c4d8824,-
L017-Q5,lesson,17,2,3,Approved,ec7c4990e777095394b8f722f500042d08c51bcc1393f82c3254790a19234b0a,-
L018-Q1,lesson,18,2,4,Approved,f369d3a538e3719279b686eea42f9c2ddcff2472ebb37f83419a36a8ea1a0aba,-
L018-Q2,lesson,18,2,5,Approved,0ce8afcd2aa611e01c9b6945340f0759e554e4bfd62463b2e6f3b0207a628e35,-
L018-Q3,lesson,18,2,5,Approved,353cc30a2ebe5e172a7012c348f9263be8792a17ad0e17b13fc0a27926884404,-
L018-Q4,lesson,18,2,4,Approved,efc76fff3875e22bae2b80b870eda89bbef2a60653221afb6d1734a2811264f7,-
L018-Q5,lesson,18,2,3,Approved,1088ebdc97ed52c91b99b20bb6b78d867bf2f54105c9e566d4c688ee0fde8b3a,-
L019-Q1,lesson,19,2,4,Approved,527aee06a75068992c0828ed558b0380d1d1632e06635f96ed5c5cb2b78cc1ee,-
L019-Q2,lesson,19,2,5,Approved,321b7a93a7d8b05faa2801dc5ebc181bfa7a6f4296f575f1cea2364a8a9ef5b3,-
L019-Q3,lesson,19,2,4,Approved,a3bc470de4fda178a712c932df7b81974639f4218f90fc502c7952ae75bfe057,-
L019-Q4,lesson,19,2,4,Approved,a94f3985409c81760eaa09e5063eb21450e7374e142f9ed7bc4045179f3912db,-
L019-Q5,lesson,19,2,5,Approved,a7f00d5c9fe97031e582cf311d8400b0fbe5882f7d422aac0fe9379b1ef85577,-
L020-Q1,lesson,20,2,4,Approved,e9f5fd980f396fd0dcead46fb1dfa29a050f6f9d65267d9309265b19c78ba67e,-
L020-Q2,lesson,20,2,5,Approved,0d81cce0f152c13f03ebb829d60fc09c3c8c410c175a432bfbba0d573febef65,-
L020-Q3,lesson,20,2,4,Approved,5a6f1dd1e23d3d4d9358ffb029b4e5fe17cb29085362c8b4e4ddf0521ad103f9,-
L020-Q4,lesson,20,2,5,Approved,8aaab7618dc2d0450b6c432119297e4de9fac067560b1520ea1d41a91b5bff3c,-
L020-Q5,lesson,20,2,4,Approved,2effbc515ae6f4fe2c2d9cdb75cd19714f0e5359375bbe163f3783698f6a4361,-
L021-Q1,lesson,21,2,4,Approved,894bd3e2ed8a380076217a2c9b50248a02babcaa60f1dae9baad7f8271eaad16,-
L021-Q2,lesson,21,2,5,Approved,348723f3c256331ae172d9257103b1b0c763d233b344c16e0d813587eb306de6,-
L021-Q3,lesson,21,2,4,Approved,920f825bcb987a21b0396ad9266c46a1281d7ef400efba875c1674e999bf5c50,-
L021-Q4,lesson,21,2,3,Approved,04e97a1fde47ee27be5955651ef9fb108e7db84ab6f3ddcc4d0a7beec6999400,-
L021-Q5,lesson,21,2,5,Approved,e2a17f98a0f32c604defbecacd337135b3b7768c99451e8660d19bda0cf8ec26,-
L022-Q1,lesson,22,2,4,Approved,583ed60dbeaac30c84e80af3855ee8b3fe957c6f987a36f6dc5d6f103209e552,-
L022-Q2,lesson,22,2,5,Approved,dd423f56686f2befde36f3d79ac0250339404c954f044a27ee0a2159f40ae274,-
L022-Q3,lesson,22,2,4,Approved,74f3364aab7dab0dcb86b0630000b2c8695bc3044931125a6cbb7ab4d812670a,-
L022-Q4,lesson,22,2,4,Approved,d72d6d686e35274b3a587f52472e2217915d0950cdc6ca62c96a146bda15ed4b,-
L022-Q5,lesson,22,2,5,Approved,21713f269e12aefb8c92a834ac642e048a27bbdaf311fc1ec6621dd372637567,-
L023-Q1,lesson,23,2,4,Approved,06d53016feef6ebb7c155cd9015ce8425fb65066c6a9298296f618b7099c8ee3,-
L023-Q2,lesson,23,2,5,Approved,629113321829d06d72a1b45cd7d09a15d9efff5c23d5a73b99941c340e4a49de,-
L023-Q3,lesson,23,2,4,Approved,6337c6c5de484a13558703e6f5ec28bef1943867632cf934eadb15aaa0a5ebd2,-
L023-Q4,lesson,23,2,4,Approved,b3041ae5ecfa7237a6318d9b2b8672cde77d6af1ac99d59e025cdbbc23dcbf95,-
L023-Q5,lesson,23,2,5,Approved,a01dd591ea463e4fb1004d0acdf3085a880d0671dea62d51ed48a8920f070c8b,-
L024-Q1,lesson,24,2,4,Approved,705255232b4733a32057b62236569297aa47bd31e444036cbef184f49cae5c9f,-
L024-Q2,lesson,24,2,4,Approved,9a1fd593ff6c913bae57f1804a1b2bbfdebd9c8d00ae3b6f1fc44a995cdbfa89,-
L024-Q3,lesson,24,2,5,Approved,d5f840793546bc483e38102878a74767656abc17de8081a7e866acec1cc93690,-
L024-Q4,lesson,24,2,4,Approved,94fa364180473b09c2e9949f9927ce92d3aa88e48795537923921ce0ba93cd14,-
L024-Q5,lesson,24,2,5,Approved,6f4f03d3505ee3f543091c835a79e2846a8ecfa8425b219ea62a2fc82cf54757,-
L025-Q1,lesson,25,2,4,Approved,ceb15c4c4e99c07ba588d57439f2b2bf9e35b000e28459bd8af4475ea9a1f5f4,-
L025-Q2,lesson,25,2,4,Approved,853406607e7b1c5b528027f4d22eb9bea8fd8e164b81f6dd4323cb6086c8136d,-
L025-Q3,lesson,25,2,5,Approved,13a75dc309c8c15e7280d1b133b24443ff9ba60c7f1d631e46637143dabb2352,-
L025-Q4,lesson,25,2,4,Approved,13889ebfca86ccb7966cfb46e05a9c343b510dba5f5a5403f6bc6dd9b44066dd,-
L025-Q5,lesson,25,2,5,Approved,9e0262f68a124935742e16dcbff17f2da17411425b1e2b0546cdd8f7055664ce,-
L026-Q1,lesson,26,2,4,Approved,c7663a144da44dc569dd2c4b036c026f2842b1ed854f0aa6fabd061bf2c7e6d2,-
L026-Q2,lesson,26,2,4,Approved,7ac2cfce93cec16cd573d9acca348c3405ebe10d4cfd82b97011eae3fed9d902,-
L026-Q3,lesson,26,2,5,Approved,3f736a7476842f58397b2cb7a54d181de702eeb48ed996cfb036387a616d5538,-
L026-Q4,lesson,26,2,4,Approved,9112a1118c71b8ba0412076ff77640ce25c671e959b6ef411d78913d93166477,-
L026-Q5,lesson,26,2,5,Approved,ea732780c0c1628fd36e4138c444f229ef78ef0bad2f7b32f26fc97eb929f7af,-
L027-Q1,lesson,27,2,6,Approved,f233a5385bb9392e616b3f84b91c8c846e7e4bc02112b75356d4bb7684aaf88b,-
L027-Q2,lesson,27,2,6,Approved,3c54f0d51645889dfcfaa911bc0a0b0f423d51541aa9d7b403281af988eb316a,-
L027-Q3,lesson,27,2,6,Approved,70485fc39593946519ff86872ed1d5b22635ad71f32c1216abf641981e553c6a,-
L027-Q4,lesson,27,2,6,Approved,2a11417bc43a321f99bb0cfcd670976ddc472590d6606b66de5d12ea61b45080,-
L027-Q5,lesson,27,2,6,Approved,b01a3934194aeb4ca4cb1d9e6311c17ef4c29c84b7ad3d7db84a2b16bcd14846,-
L028-Q1,lesson,28,3,4,Approved,183a75911ef7bfe679a3df44d1afa8811778d3a343f7bab3ce782c91a0ea7311,-
L028-Q2,lesson,28,3,6,Approved,64520bb7c6e7f8711a21290f5fd382cdc22883f904fe20b4445fc6088ef7736e,-
L028-Q3,lesson,28,3,4,Approved,ee5b31e244460ca93640ce004676dbbfd0415d0ef6bb80b464c42488d6f39610,-
L028-Q4,lesson,28,3,4,Approved,14add0d96cb8e9e688941d9b29282937ced2a0be1f643b32b75adc4b1ea520a6,-
L028-Q5,lesson,28,3,5,Approved,4d984b7f5205503f1282a5f0c4c6c9ebf466673cb91117ba06372b79dada1b7b,-
L029-Q1,lesson,29,3,4,Approved,b4091d328766d9367c5c8af9304be754d5cef3574a724985d862e914c91c1c9a,-
L029-Q2,lesson,29,3,5,Approved,c739967a353eaf771c7c79a73affacc78f07f5b04bd101ca4e292bdf1c35c262,-
L029-Q3,lesson,29,3,4,Approved,6c9b897a86138ce37c9ea9d0f9e2c31b1a8a6d34405074b54aa6463261aa3187,-
L029-Q4,lesson,29,3,4,Approved,2b5a4e243531919a3cc6bd88e159f8848c6f89f3200c7c620b3f574794104ef3,-
L029-Q5,lesson,29,3,6,Approved,e7db7e96175cec228e48fee46409fb82b164d6d6fc8cc7deebb9189f4f798a18,-
L030-Q1,lesson,30,3,4,Approved,cd6732fd8c0e86850e102afc26eb98ab833cf31de50d404639e0ca16f7f4719f,-
L030-Q2,lesson,30,3,6,Approved,94a31218e93cbf85a118f133dc12d774b4db509df7bad5a245ae98b11060ba2b,-
L030-Q3,lesson,30,3,4,Approved,9c30ab7f262cfa0ea74fec3ea1a2e0674fb7c37fa993a97203a3ef693718b6f0,-
L030-Q4,lesson,30,3,4,Approved,3321e20619ed668352e10f12b3445b2e2eb42123d807037c7993aa49020f5cf4,-
L030-Q5,lesson,30,3,4,Approved,e23b99cd5f17a0953e2f54bf02afc418f86cde40c302a6b13b2106ccd830957d,-
L031-Q1,lesson,31,3,4,Approved,b789c675d534e012ee828943b01fa4f5a483bda78cdd215b06bb6ce2d2215adf,-
L031-Q2,lesson,31,3,4,Approved,b23e73c9131b476f4643631b47d74ccd537bef389497f4b4847815c059029386,-
L031-Q3,lesson,31,3,5,Approved,adc9e5fa0a95e94219b451ed3f19391b0b4e09805f7007769566bc2b95a925b2,-
L031-Q4,lesson,31,3,6,Approved,dc6cc4ad44b3e4ee81061349c63773db4e30339061fb2aff8a418e56543b5c0a,-
L031-Q5,lesson,31,3,5,Approved,3864b60631b22acfa72099439e321e423d790fc61c421c41f1cfa0014411d69f,-
L032-Q1,lesson,32,3,5,Approved,c96454c434222d2fa4ef533e765e9ad6d88be9a15fd857f58d37a495d63d42a3,-
L032-Q2,lesson,32,3,4,Approved,aaa97088d4180dc5f5b863b548f0632f351c2779a2368ae448690bfbf02c0265,-
L032-Q3,lesson,32,3,4,Approved,29adb679f1ced8e513e61cf4f4569182d9994d74f2fecf9495da1ad5d12efd0d,-
L032-Q4,lesson,32,3,6,Approved,8e375fd4b3d7309861a17a1494c0585bddfb40d0138fcca0b0e4d9db7f2c582f,-
L032-Q5,lesson,32,3,5,Approved,4f1683e0b702ee6acdb57a3d744f67239aef36ac259a4c02dff2776bc37698ad,-
L033-Q1,lesson,33,3,5,Approved,e5bcf1ede5fa6d0fa4c36b84c5bdaf03bf9b7d76f619d8170987e12e71ba422f,-
L033-Q2,lesson,33,3,4,Approved,175a56488b8c2eccae9d0b2c555d5ca44fa0a4571e58f5c5b4955670c6dba177,-
L033-Q3,lesson,33,3,5,Approved,25aea3d29295252de8431573e4fb7e4f06781d316a48d6ab41b1763592699d51,-
L033-Q4,lesson,33,3,4,Approved,66957619f95de883f85b4a5e5e1271e5be67dcbb6a9a5335f36e7a2757ec840c,-
L033-Q5,lesson,33,3,6,Approved,a9996b70cf45a1e089f191405d28e919a7dac618e60e46fb4ecb21d49579dba6,-
L034-Q1,lesson,34,3,3,Approved,c8da933aeb67f080f82b62485060cd628d1763a76ddad6d9ab6bdb371127f410,-
L034-Q2,lesson,34,3,4,Approved,1c3414aacf15675c3fa68f788c0b15840dffc1bc7d8cd7e2bda8621573b5bd83,-
L034-Q3,lesson,34,3,4,Approved,37e9652007b2f0dacb5ea5a0e0cba695c3e2832623f95db74adfb36ffc6301bd,-
L034-Q4,lesson,34,3,6,Approved,c5aa095f68b56877faca8a2bdefc85397fdfae3d2b53f75c6a97c556a74589eb,-
L034-Q5,lesson,34,3,5,Approved,c2882bcda8b95187f5cac184fb31c1ef6af00c7942870a212d583c7544551523,-
L035-Q1,lesson,35,3,5,Approved,e4df5948d9d582eaf07b503cd831d9adc665dcea947a9b0c43642b2c7ed9df8c,-
L035-Q2,lesson,35,3,4,Approved,bae57f3ebeb49e55b1605f175781be01494bc66d4beb0f85bec2dae02cc2cbac,-
L035-Q3,lesson,35,3,5,Approved,0c217e77c5cf4b030859a7d1d69be6e1ff72ee01acb6d58edc74a348f4ff9f8a,-
L035-Q4,lesson,35,3,4,Approved,6af7a9fcd2c2daeeae8a470bb6a61eb43f2a18fd2b14d6f65715a5f72102bc1e,-
L035-Q5,lesson,35,3,6,Approved,db1ff3a0cb43b3ecd1ffbc8d0bf5b497d13681e07372b37458cfaea56b6c5b40,-
L036-Q1,lesson,36,3,4,Approved,910d2677e2b45eeafaf0dac70049054da928d112a89729bd0711b31bf2453751,-
L036-Q2,lesson,36,3,4,Approved,a0813285935a01f892c8abc40582aedd98accb613139d55e0c9fb88a3d5fefb1,-
L036-Q3,lesson,36,3,3,Approved,22867f59ad027d3a1d3d2b214efbe9c8a03d0158a08d60049dff9b9703806e44,-
L036-Q4,lesson,36,3,2,Approved,7129fb0e569b719e9f0e81dff1388f88cc3e9df3567094ed9594c1ff886e6d11,-
L036-Q5,lesson,36,3,5,Approved,91dbd0314c969c91b0820938ad04b126cf02a469197cc32b84064e0bd78ec30c,-
L037-Q1,lesson,37,3,4,Approved,8a8e54f456dbfecd081a8da6112d983fbdcd68aa4b3a52f290c77d0188c55c57,-
L037-Q2,lesson,37,3,4,Approved,fc6098002dd302c1e172f11df126e3a9262e2cd85037ec2cd5b1f61e86217bad,-
L037-Q3,lesson,37,3,4,Approved,66a38e84aea4a1d6548a5e83c66fb1325132588c7b4cd32af69f9a475699a65a,-
L037-Q4,lesson,37,3,3,Approved,eb8e983a7a12cf3e9911279782d1bda4df904322a6de7411d48c2752e76ad00a,-
L037-Q5,lesson,37,3,6,Approved,2f15afd4accd1a9517b4943d4abd9cbbe9cca1eb1b74f7ea708d3087b366a3de,-
L038-Q1,lesson,38,3,5,Approved,474518adbe5acdf2ab77429f881ddf06d9666575d46ff1828642a1709c4e58d4,-
L038-Q2,lesson,38,3,5,Approved,97f0491120a0d89419e9ea9ea762a0d5df1c491cff48a2647689b0a8118a9962,-
L038-Q3,lesson,38,3,5,Approved,66ff561fe39ce7b909d91b033615dad3558bd29b830d70d25d044b44fca4c93c,-
L038-Q4,lesson,38,3,4,Approved,edc2fb2f37a791140fc0e8b2d3b1c6de902cb43cd9d86a6585b5263563725573,-
L038-Q5,lesson,38,3,4,Approved,30946c649414b5809a0531556a960f52b311e17eb1343b9156c03940a730b6c9,-
L039-Q1,lesson,39,3,4,Approved,b481754f442e55a9ddb1e012224b9d509fcc25a11f5be221f8075286554b0e6d,-
L039-Q2,lesson,39,3,5,Approved,a04345bb0b23651211732edb2e433719fa2e13dac076c012caf53bd0f1285092,-
L039-Q3,lesson,39,3,4,Approved,02e24abae482e8ebdab0114206853fca673622a7d060234de5dd5de606a3ffc7,-
L039-Q4,lesson,39,3,5,Approved,e4f48afa7f090fadbde26208f732bd6b932370bb30d65e9b3af48003f843cb56,-
L039-Q5,lesson,39,3,4,Approved,e65a9aeab118b8bc00b8e29d36dbaf0062058dd52cffcb41df4d1addf0387946,-
L040-Q1,lesson,40,3,6,Approved,9a2cab5151a097c104401c7825177be2f86fc7c4486f7188264358753d63c1fc,-
L040-Q2,lesson,40,3,6,Approved,eea75a6885682d707f9f43110da57074804e71c5f4440a2eb134a2d9db1d2a4a,-
L040-Q3,lesson,40,3,4,Approved,a75f728a67552d6184cc5e2fb290ab55ab84df41a5d10bc57dd51aee89366545,-
L040-Q4,lesson,40,3,4,Approved,4208e9e59bf252521782b9d3be165430504277f6a516dc69ab4222dc5928a038,-
L040-Q5,lesson,40,3,5,Approved,b8c4cb57190a8886ec0e64a633882648bb7891798713b00c7c8919383c1d124d,-
L041-Q1,lesson,41,3,6,Approved,11b215138ffe972e14696abe205b5feaf9b307e5d3dbedd36751e746cd5c0d2c,-
L041-Q2,lesson,41,3,5,Approved,812b10f164f731726e0e6ed1084105dcd18d47e90635f77f3d4ff22475355fcc,-
L041-Q3,lesson,41,3,3,Approved,2d63d93e72ef1fa82f48d3c197dc49319d307b3f87d4fa8c13aea951b8e6edc2,-
L041-Q4,lesson,41,3,6,Approved,e39dfaa17deaca94b932d7d9a9856ab4ce1ff5e80a2246e1dd936f288cd15bc1,-
L041-Q5,lesson,41,3,8,Approved,7e1ba016c5e77388556492c711f57684bc2ee956fbcedbc40bb2d9be12865e98,-
L042-Q1,lesson,42,4,4,Approved,e6178fe9a98b9d2353f53f36f4ee87935a9fe7e5bfa2324828527246159b291e,-
L042-Q2,lesson,42,4,4,Approved,eeb5e1aa784d8d2d58e044067d6d255dadfec502ca9a578a7ae9566a628d84a1,-
L042-Q3,lesson,42,4,6,Approved,4ee2f8c760354d40983321e6c24ec9575674420e344571355207a2429cf1106a,-
L042-Q4,lesson,42,4,5,Approved,a567562b111f07059ca8db7f0d4350bac77e4f8002e971d60f7d0941ae275b3c,-
L042-Q5,lesson,42,4,6,Approved,ab75bc8f699ce20896b74d36b80453e0fe9280abec99d75e877aecb1f324763f,-
L043-Q1,lesson,43,4,6,Approved,60293b8659bc4f1a0e3971261d213ab5079ad0c1062765f41e8e8fd911d0d3be,-
L043-Q2,lesson,43,4,4,Approved,d16ded42f88bee208d318b5ff879847e533fa6d42fd63ba11884123687d05d4f,-
