requirement_id,section,teaching_lessons,risk,gate_status,evidence_review,assessment_forms,visual_evidence,release_status
S11.02,11,128,High,Complete,Reviewed,1,L128/explanation-pseudocode-img-1,Approved
S11.03,11,129,High,Complete,Reviewed,2,L129/explanation-substring-img-1,Approved
S11.04,11,130,High,Complete,Reviewed,3,L130/explanation-case-img-1;L130/explanation-for-img-1;L130/explanation-compare-img-1,Approved
S11.05,11,130,High,Complete,Reviewed,1,L130/explanation-compare-img-1,Approved
S11.06,11,131,High,Complete,Reviewed,1,L131/explanation-byref-compare-img-1,Approved
S11.07,11,131,High,Complete,Reviewed,1,L131/explanation-calls-img-1,Approved
S11.08,11,131,High,Complete,Reviewed,1,L131/explanation-parameters-img-1,Approved
S11.09,11,134,High,Complete,Reviewed,1,L134/explanation-java-140-img-1,Approved
S12.01,12,143,High,Complete,Reviewed,2,L143/explanation-rad-img-1,Approved
S12.02,12,144,High,Complete,Reviewed,2,L144/explanation-algorithms-img-1,Approved
S12.03,12,144,Medium,Complete,Reviewed,2,L144/explanation-algorithms-img-1,Approved
S12.04,12,145,High,Complete,Reviewed,1,L145/explanation-logic-img-1,Approved
S12.05,12,146,High,Complete,Reviewed,3,L146/explanation-test-data-img-1,Approved
S12.06,12,146,High,Complete,Reviewed,2,L146/explanation-changeover-img-1,Approved
S12.07,12,146,High,Complete,Reviewed,1,L146/explanation-boundary-img-1,Approved
S12.08,12,146,Low,Complete,Reviewed,1,L146/explanation-maintenance-img-1,Approved
S12.09,12,146,High,Complete,Reviewed,1,L146/explanation-bug-img-1,Approved
