lesson,section_order,section_id,delivery_group,delivery_role,classroom_activity,minutes,title,status,content_hash
002,17,delivery-11,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Identify and correct the error,Classified,40032f3506bafdec2fce676be86adaa1986a312e918485c67d10635a3d3464d2
002,18,exam,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Original exam-style questions,Classified,52d930904e865fa0e624cd2122ea9adae5bb1c83650ebac21c75d25c1a9216e9
002,19,summary,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Summary of required knowledge,Classified,96f864030c3459e8fd4e7033037806744ce1c45bc6c99411206bada508bea17a
002,20,homework,homework,AFTER_CLASS,HOMEWORK,,Homework tasks,Classified,888c7fb9f12988eb1a1955cf979e8ad77d971e436c0d6a09941a09b11b9f4992
002,21,delivery-15,remediation-v2-stage3-optional-002,OPTIONAL,EXTEND,,Check only after attempting,Classified,01384029dda61566644765c65f4cf4f065d539d4128332e6a268706e8a0f71b0
003,1,stage2-completion,stage2-completion,CORE,TEACH,,Hexadecimal as a base-16 representation,Classified,f12e6894b88fccd57e6ba46f4aaf14e570622ee52a026ef4f80cdfef2cdf87c5
003,2,stage2-practice,stage2-practice,CORE,PRACTISE,,Hexadecimal as a base-16 representation: apply and assess,Classified,79bb6d458cf7de69846376021387d9d86527579d4ae93e8861bba3516cc623a2
003,3,overview,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,"Hexadecimal is binary, packed into neat groups of four.",Classified,f32d2c9b12653919dafceedec7e235679079bcac4d6ebbed80df89c6af8774fa
003,4,delivery-02,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Why this matters,Classified,8f4ee8e356512a89a6195f21d35d119587cbddcd57ad1cc02bc6702e9612df90
003,5,hook,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Which is easier to copy accurately: `11010110₂` or `D6₁₆`?,Classified,639fb5333c7d24cd9496ba0f2ed267525be21cb7ae2a5f1726197131058a6d68
003,6,digits,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Hexadecimal digits: 0-9 then A-F,Classified,27b51e108399cbb094a199370ba6e74872ca4772ff7d62a064cb5e29d034c9af
003,7,explanation-digits,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Hexadecimal digits: 0-9 then A-F,Classified,5ebbae7fb60fec1d07e7f1e9d35693dd4cc4111017e692b9bd5c69936a531b59
003,8,grouping,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,One hex digit represents one nibble,Classified,1ed09fb3e5ab5bfa5e812105769b8c6c3230ca4a34bf3332f2ca958372a03776
003,9,explanation-grouping,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,One hex digit represents one nibble,Classified,171f35b4766b844d046cc2aa5edd1bf323fe6f232645c3c35b6d22b24797b641
003,10,delivery-06,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Common error,Classified,7bcd5fad009172cd230c6ae9d7de3e6dbba21a5941a21c1e3e27750c8a27f33a
003,11,padding,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Padding with leading zeros,Classified,bba3feba38a06950e4ad8852a305bde10cd8da287f1ce16108b3b0a5a0026f24
003,12,explanation-padding,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Padding with leading zeros,Classified,11658d20fbf32a7f5638348d91c3ee236bb91868e2a9fddfef2cc93c046d9da0
003,13,converter,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Binary and hexadecimal converter,Classified,2ea4dc9b384e56ee4680f03d7ef6c87908f3aa503512fc61d1f8190a5613863b
003,14,examples,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Worked examples,Classified,7f83386287d4e5c022054f42fe45a1ad51fd1503994fe31521b5cb11a98c722d
003,15,practice,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Practice with instant checking,Classified,958021402fb19495f5d7e7838bc6f935e50cb888198d7ed8b0c0c136b6219869
003,16,delivery-11,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Identify and correct the error,Classified,e9cdd3052348baf64c77a8f56f4cb9910093566f991a67514ae3978f88369caa
003,17,exam,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Original exam-style questions,Classified,52d930904e865fa0e624cd2122ea9adae5bb1c83650ebac21c75d25c1a9216e9
003,18,summary,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Summary of required knowledge,Classified,537fe5ae6db3dfbce82d8ec1bca455bcd0daf1be98e9349c0a7a9cde57ef85a9
003,19,homework,homework,AFTER_CLASS,HOMEWORK,,Homework tasks,Classified,c1217c5426586a0ac87f9523bfab6988bd09b721a914f52f3ec909f016e65e5f
003,20,delivery-15,remediation-v2-stage3-optional-003,OPTIONAL,EXTEND,,Check only after attempting,Classified,f30c184f068910eaf39b0fa35d54984a6fd24304eb6c0249e7a98c4af78abd97
004,1,stage2-completion,stage2-completion,CORE,TEACH,,Binary addition and fixed-width overflow,Classified,ba868ed971c64e85c98aae044900eb28e998749daf7380cf65ab20548d6ffc83
004,2,explanation-overflow,overflow,CORE,TEACH,,Unsigned 8-bit overflow,Classified,0c15ba9885c468730e43617c076fee1499853b8ad19cfc69cf2e6d47ccc0372c
004,3,explanation-method,method,CORE,TEACH,,8-bit addition method,Classified,d6da84024a7908b9fb2ac88f663bcbba5058a1b9c34e4745f9da69779a0ef029
004,4,stage2-practice,stage2-practice,CORE,PRACTISE,,Binary addition and fixed-width overflow: apply and assess,Classified,1b066dd95bd2e048a09d7a2f8ea4935fe10d5c66f9279227f78fb037b5d769c6
004,5,overview,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Binary addition is column addition with stricter carrying.,Classified,de82447660694b87c27d1d8174108998e37d650e9d94eacd651bdf2475d3761c
004,6,delivery-02,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Why this matters,Classified,1b0f7c089f24370b142ec12c67910ad71ed998c2508028533e9bebe170ee6a23
004,7,hook,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,"If an 8-bit box is full, where does the ninth bit go?",Classified,f9c838a5779bcefa0ad61e804143f808f3982c6d4a73e068472c1e8675d07df8
004,8,rules,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Single-bit addition rules,Classified,55d0938292738bbef98f0997969148b7910cefeee00428a9afe2d65dc0fcb824
004,9,explanation-rules,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Single-bit addition rules,Classified,0a4617688c1fe6fe1ee494fdf3b65ad00764ceb8fa4045b36f789981af31e65b
004,10,method,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,8-bit addition method,Classified,afe3b863998b99a4ecaf35fe2a01489319971bb07585e9d1030280d4b53c851d
004,11,overflow,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Unsigned 8-bit overflow,Classified,ace264028e7930d858613c4751fbcd96c0d9678b4a4eebfa5f70c13829179d4a
004,12,delivery-07,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Common error,Classified,093b989579047316111abf6ae316bf4b7d29cefa380d852576a011fbbc61e372
004,13,adder,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,8-bit binary adder,Classified,71b14db975051ec22bdc2fc196e841da7911b5cd2ab0f0bd51ad65990a065ea5
004,14,examples,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Worked examples,Classified,920923a7d18f0b0320250a8cd84605fd8856b64a9c2445c6dce1d1c63303437a
004,15,practice,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Practice with instant checking,Classified,958021402fb19495f5d7e7838bc6f935e50cb888198d7ed8b0c0c136b6219869
004,16,delivery-11,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Identify and correct the error,Classified,1554323bae9e27090a176afc685aded5b944ea367fe98db4c8c1dab409749424
004,17,exam,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Original exam-style questions,Classified,52d930904e865fa0e624cd2122ea9adae5bb1c83650ebac21c75d25c1a9216e9
004,18,summary,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Summary of required knowledge,Classified,b2ab60b9ad25f63a75cfbcb89cf67d83d692b5d23c7c79c667a4dc94db3de898
004,19,homework,homework,AFTER_CLASS,HOMEWORK,,Homework tasks,Classified,e3e97b76b8651adf514fd0b2b8a7b2ab72acd5db113fabf43ca76f814154f5aa
004,20,delivery-16,remediation-v2-stage3-optional-004,OPTIONAL,EXTEND,,Check only after attempting,Classified,1c26890b824137cb28c818d8d842beff995a1ba1024b9a7343a80d1ab4e93335
005,1,stage2-completion,stage2-completion,CORE,TEACH,,Signed representations and binary subtraction,Classified,4c3622e8880c783dcd98fda5400726c4b8a2b07841dc971eed01941d3a31f083
005,2,stage2-practice,stage2-practice,CORE,PRACTISE,,Signed representations and binary subtraction: apply and assess,Classified,269c3fd08c85dc39638049616f503fa7a68fabf0da4d0764836e808c6a17adba
005,3,overview,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,A leading 1 does not always mean the same thing.,Classified,52fbad28bd20d4d5c36c2c6926da324135e1cf4aea1fb3bb59cd8eead06008a7
005,4,delivery-02,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Why this matters,Classified,4670ed60bf547b8d79458e6e96eb4460036c99945b2db44ff299d6becd679789
005,5,hook,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,What does `11101001₂` represent?,Classified,094c25fc7c63d7e5f2b6bf9f9a39c4cc8e0b257de1693e2d145ad418e8c60a65
005,6,systems,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Three ways to represent negative binary values,Classified,7dbb3745d3a9f8a52e518c7779e96490e61ab32e7ba400da1f69ec83d77b584a
005,7,delivery-05,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Common error,Classified,e0ab06fe5542a9199cf37e371a6ee46af1a53d814d666a138b3ce1915d8afc38
005,8,twos,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Two’s complement method,Classified,f04471bac69a635169e3fd675588d399ad4464ef7fe91a60cc1b0cf516c0d3ef
005,9,explanation-twos,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Two’s complement method,Classified,083b000e7c41f6662cf24a309761144e7ed3e7d47d3dc35b907452342f307669
005,10,range,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,8-bit signed ranges and zero,Classified,27ed85cb791a55bd91e394ed6e0d3b30beb91f03d8955ad3f044dd8bb36903ce
005,11,explanation-range,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,8-bit signed ranges and zero,Classified,b8f313fdb15530008881c4f9cfac0278890bb6506d1cd0f945a87ad6c651595d
005,12,converter,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,8-bit two’s complement converter,Classified,16df8afd6b174d1565ea555ce83d60a6e3b6e0cf9f6425a07c6220025fc2e744
005,13,examples,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Worked examples,Classified,722f55dca7285fc8eae06d6ef9fc006b47917223d234e6734cf78e759d930db0
005,14,practice,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Practice with instant checking,Classified,958021402fb19495f5d7e7838bc6f935e50cb888198d7ed8b0c0c136b6219869
005,15,delivery-11,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Identify and correct the error,Classified,4723921d16ba9cabe282e5f97601a6683d0d60c726c1c66363189a502bb4d2d5
005,16,exam,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Original exam-style questions,Classified,52d930904e865fa0e624cd2122ea9adae5bb1c83650ebac21c75d25c1a9216e9
005,17,summary,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Summary of required knowledge,Classified,967aba5df6ec16b6841c6382ada1e51b7652349b89d8af2deade280843808bf6
005,18,homework,homework,AFTER_CLASS,HOMEWORK,,Homework tasks,Classified,ef3528c74860f9e5d642203c02cdd0fb5eccff9a2afe1483b9793ff0e58af5d5
005,19,delivery-15,remediation-v2-stage3-optional-005,OPTIONAL,EXTEND,,Check only after attempting,Classified,7ff2d9a2bb65d8931e7752570feadb7a6c4a654485fb4bdbf0dc5b81e68e2b2b
006,1,stage2-completion,stage2-completion,CORE,TEACH,,BCD and hexadecimal in practical systems,Classified,a17109d0ad354c48a74d58f1b787dd96d1f88bb5f5521222e48af5cf308374bf
006,2,stage2-practice,stage2-practice,CORE,PRACTISE,,BCD and hexadecimal in practical systems: apply and assess,Classified,ccfd144565ad48069722951f171a0b2e501ba8cca0d6301782c6da4ee520903f
006,3,overview,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,The binary point is not decoration. It moves the weights.,Classified,751a2360c625a484bd2c3282683e8e64e4f2b1748c6f5e25c40d303216340519
006,4,delivery-02,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Why this matters,Classified,4a51f720970cdac61bbb58e0daa0c1efe23e51d7057041ecedceea6235036ab9
006,5,hook,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Which value is `0.1₂`?,Classified,49073b09eaaa014704ee2fccf3483caa397a99b54a6426cc250e513a47fe56c2
006,6,point,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Binary fractional place value,Classified,71b64ee861b06a65bc824575bba1adf7bd18cf2a37d8fac6dde504600941b098
006,7,explanation-point,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Binary fractional place value,Classified,2bf684fb471d4493e655597d3bd2fcf5a69cf12a1379a4479c3b068f170166b1
006,8,delivery-05,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Common error,Classified,9fb8bfcdc8ace92cfab37329716f70816602f57f92e4b4a5b5d575f4d83fa8f9
006,9,convert,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Converting simple binary fractions,Classified,8c8c57687944cc317a0bf9074f6d34bdfc105bc6115674cd8a095f780cf5a0db
006,10,explanation-convert,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Converting simple binary fractions,Classified,ad4ee57548068297d6024dadeae4c896d581e3133d69e6bce108d27d27c63a91
006,11,precision,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Precision limits: why computers sometimes approximate,Classified,4cb7d9a3c6321b08b462468db4b38ed21b647d9b71560145c7bbe29fe37520e0
006,12,explanation-precision,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Precision limits: why computers sometimes approximate,Classified,4b77eec4999bf1f979c455e2c879bc6347e3808bd19512f697ab3509f05fbc3a
006,13,tool,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Fixed binary fraction converter,Classified,29f2d84629450d772fb0f5d2ffadd79dccbbea087c2ffd4156ae9154541351a0
006,14,examples,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Worked examples,Classified,cfa5ffd4f092f685952f5af9732db5979b624643d06323ae5dacd7917b133777
006,15,practice,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Practice with instant checking,Classified,5ca5af8f97f67f2f2d8808359cb739057fcf02231c410fb89cfab4555251c617
006,16,debug,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Find the quiet arithmetic bug,Classified,38de351a07e85d6133867a3b8d3bd2708a9f6376f934aa4ed67af9fd8fa79ffc
006,17,exam,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Questions with expandable MS,Classified,2891d078af9b47492d149653881083b19c1f4b0c4976da9010a3dbbad1f7a56a
006,18,summary,remediation-v2-stage3-optional-006,OPTIONAL,EXTEND,,Keep the point under control,Classified,6a760283344ae9fe80e8746ba142a5b766f24257cdb3da3abbc9def2e66b0e01
006,19,homework,homework,AFTER_CLASS,HOMEWORK,,"Clear tasks, not “revise everything”",Classified,bb7746c9d2097be9ff58999d455350ca12c01798536df7772fc0be3f46a68b4a
007,1,stage2-completion,stage2-completion,CORE,TEACH,,Character sets and internal binary character data,Classified,61eecd09dba292bc9b50b4ca82184d2364b221be66cbbb75949428154b2d4a0f
007,2,explanation-ascii,ascii,CORE,TEACH,,ASCII and extended ASCII,Classified,e52277954c1ae72ad58c5e4705433f16faf5ad8431a7952fc577d640c64a27c2
007,3,stage2-practice,stage2-practice,CORE,PRACTISE,,Character sets and internal binary character data: apply and assess,Classified,47d1b9a95bda57d8fe6bfc4dfe24eee700e802d4327f824e65acbe3903597d4e
007,4,overview,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Text is numbers wearing a very convincing disguise.,Classified,cab5d383bbc5f02f03983c7ad0507acda713e92400dd0481592ba3526cb8f8bc
007,5,delivery-02,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Why this matters,Classified,f2f541b540a5af8ded9c8fd96bd02b6988b141c9654c2e5c75ff5e90ff0843b2
007,6,hook,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Can standard ASCII store `你`?,Classified,192e2ab037900d119a77784062a4ce350014e61d29811edf07e24668299eb5ab
007,7,concept,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,What a character set actually does,Classified,8ce63a0c9950b05513ecefb253579ac3343b60bc2a307056d38b4cf6c180e50d
007,8,explanation-concept,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,What a character set actually does,Classified,8f3980957e238c491fa134ce1c47f69ec755c8f7ad7c09af8539a30650a238e2
007,9,ascii,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,ASCII and extended ASCII,Classified,09209781505731a97874d6dbacbd294bcc1b2ca56936db986b838476ddc560d2
007,10,delivery-06,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Common error,Classified,191aed5917ad188fd6ad0c68e9b4e62d335109d55437893c95bfc063f28b1901
007,11,unicode,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,"Unicode: more characters, more global use",Classified,cc289d12989f4d3273b40b006c987cfec9c71f3fe09ec2c895422ba1c9cc2955
007,12,explanation-unicode,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,"Unicode: more characters, more global use",Classified,c2622731485a922a394af12936a3631671ea02bfec77f93fe939974643f6dac7
007,13,encoding,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Character set vs encoding,Classified,7836ae8715cfa1e8f8cb039a80587b3a5c967158af68cfca9468943a543bdf91
007,14,explanation-encoding,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Character set vs encoding,Classified,84d6d48b602551e860eacc6fedd536c3b029f24f748731805b0012330ab9d5a2
007,15,tool,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Character inspector,Classified,e549a4cee1fbbb1c8f21e4594ab4ffc1eb0f90822f51d466460234c0821385a3
007,16,examples,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Worked examples,Classified,72d78deb0691d2237fd69118514f034a9c961a737b20aae71029bed17d5cc067
007,17,practice,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Practice with instant checking,Classified,5ca5af8f97f67f2f2d8808359cb739057fcf02231c410fb89cfab4555251c617
007,18,debug,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Correct the almost-right answer,Classified,ec67015fc62aa598e4a27ec9d39969f527bf5ec8af5cb5327b6da8fa1c0ea80f
007,19,exam,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Questions with expandable MS,Classified,2891d078af9b47492d149653881083b19c1f4b0c4976da9010a3dbbad1f7a56a
007,20,summary,remediation-v2-stage3-optional-007,OPTIONAL,EXTEND,,Text storage needs a rulebook,Classified,805478d4134ecb15c4d8311e1c269e162b36c0dc7809b11117565860808dae40
007,21,homework,homework,AFTER_CLASS,HOMEWORK,,Clear tasks,Classified,35d14680f3a35d96118daf3801f57ef80f1bb88c4c536f597bc0017f5e0237f6
008,1,stage2-completion,stage2-completion,CORE,TEACH,,"Bitmap file headers, image resolution and screen resolution",Classified,e72b9bc7943e6696a063b6be11f437d26bf8b2d196cc085be787f3865f6a7a91
008,2,explanation-pixels,pixels,CORE,TEACH,,Bitmap file header and pixel data,Classified,c18c4d5d35bf124d640007eec562482e0bed69ea13c466a0cb9cb95429a5db39
008,3,stage2-practice,stage2-practice,CORE,PRACTISE,,"Bitmap file headers, image resolution and screen resolution: apply and assess",Classified,8913545855d1a181ce58cea20cf95bc77bb7edd68e75e00a025008036f39a6a1
008,4,overview,remediation-v2-stage3-optional-008,OPTIONAL,EXTEND,,A bitmap image is a grid of tiny colour decisions.,Classified,091f7ed8281c6dee6af6a359d18a054864d036daa18a209130085f9ddd5f3da5
008,5,delivery-02,remediation-v2-stage3-optional-008,OPTIONAL,EXTEND,,Why this matters,Classified,977f57b2426161080e3fbcee69f029d1461fc83fc25d6ecca4a97cb2fa25ee32
