lesson,markdown_file,title,markdown_hash,html_hash,identity,semantic_review,release_status
014,014-choosing-data-representation-for-a-real-system.md,Lesson 014: Choosing data representation for a real system,0d583435842d5fa3a6abee002fb3645884f8ae265a56383abd7740de0d9f5ad7,46ea78f6e0b8525d8126ca1f8ef514a3ebb5d1eff4a62b122f23b9a531a27635,Pass,Reviewed,Approved
015,015-section-1-review-representation-calculations-under-exam-timing.md,Lesson 015: Section 1 review: representation calculations under exam timing,3760bffe72fd4b1214006f700d072ce5a31490a7de51d7863b84bc8f195b9783,fe47a5610779462f8ae8ddf569eba0ab2da048b146b13efc6fc248c9fe0e8cf5,Pass,Reviewed,Approved
016,016-network-purposes-lan-wan-and-network-topologies.md,"Lesson 016: Network purposes, LAN, WAN, and network topologies",4a1a63c60fd7872a23b63b7fba4beee31b6fc891384b07053bd33220353ed625,6ff5ae6c15d3e615cb3ccf90f5be6418c8e3c8602f93bceb32137d13d731ec4f,Pass,Reviewed,Approved
017,017-client-server-and-peer-to-peer-models.md,Lesson 017: Client-server and peer-to-peer models,30570bb88861ec39ae98d1d7720bd6cb90e786fdcb39cd4aeebbe1a8eba8d688,9a95e0bc41cef7b00bfac8b856178fc8223918925da9d4429e9b83fa1fb06863,Pass,Reviewed,Approved
018,018-packet-switching-routing-and-packet-structure.md,"Lesson 018: Packet switching, routing, and packet structure",553eb0572a7e66077552413d02dd6411cc4cb2bd8787b5cd7d06b9def8c59a22,a576c93c6761cccf4fcb06a147666255b411098811b2a48a1754f939f3fec2f5,Pass,Reviewed,Approved
019,019-protocols-and-layered-communication.md,Lesson 019: Protocols and layered communication,55d468bdf15dc1a798cfba75afb1d5d3fc816c6149b7139dd4972bb8a7971535,00489f62d184fd8a9ab3e7afe4df69994a794b4f4471d975fd6fc362a70b02c8,Pass,Reviewed,Approved
020,020-ip-addresses-mac-addresses-dns-and-urls.md,"Lesson 020: IP addresses, MAC addresses, DNS, and URLs",5a46ed67582a90b1c24a94cc32191a8dfb0ca5eecb830ba6bd2a7bbf771b2e82,fcca5308efa3af3430c4b787bcaaf895bd7903a5abb244de1340898c221b9ad2,Pass,Reviewed,Approved
021,021-http-https-ftp-smtp-pop3-and-imap-in-context.md,"Lesson 021: HTTP, HTTPS, FTP, SMTP, POP3, and IMAP in context",0f6daca26abb7eadc3f489301e13c59fc37e1c59cefac4a17cf7d4b275307500,d1cb090728afacf949370f41c2805a6f2ce4c9907cb9f55385716ec30d5c3c81,Pass,Reviewed,Approved
022,022-wired-and-wireless-transmission-media.md,Lesson 022: Wired and wireless transmission media,10c96c4f32ab1d691d8b37e003766437c103ba759f29151a0790f37c5807fb1b,d0dfe03de13596da63698b5f0499d477d4b81e3a1ce8c5a1e290f4519c4503d2,Pass,Reviewed,Approved
023,023-network-hardware-switches-routers-access-points-and-gateways.md,"Lesson 023: Network hardware: switches, routers, access points, and gateways",ec0ea4b50b011bda2b65875ec7b01421b0dd702a994f2340fd03e5b4220ad63e,9829e53deb6e9dab55bca8cccc6e5d26228b5d493d35740db8f7331648fc7e26,Pass,Reviewed,Approved
024,024-internet-intranet-extranet-and-cloud-services.md,"Lesson 024: Internet, intranet, extranet, and cloud services",18e5a45de835be7fdf4d43c5f47a7b9db5787a3c76e56703c441c03bbdc3d102,6f74fca962d843899464d9858923a46833d23970c620d3d23aab75c794e9c3f5,Pass,Reviewed,Approved
025,025-network-performance-latency-bandwidth-and-congestion.md,"Lesson 025: Network performance, latency, bandwidth, and congestion",eae16f1b69d0b75006c6c1a3dfcfaa298928e14839f7e2312e4019d9b49b4b48,a238ccfddece45bd590238eb816f83907341178dbb88ab68a5718d514072c87f,Pass,Reviewed,Approved
026,026-section-2-review-explaining-communication-with-precision.md,Lesson 026: Section 2 review: explaining communication with precision,f67ccfe33e304565629d09a0b3c5be6e26e888566b213e8205747274faa1dd3d,2f2037dbb4cd01acd880786d96095b3976a6574c8eb7e21a5d708697e7a27396,Pass,Reviewed,Approved
027,027-computer-system-overview-input-output-storage-processor-and-memory.md,"Lesson 027: Computer system overview: input, output, storage, processor, and memory",c062e576769f3052c6b56cf114bb4303337c10c2faf7505a81b447849d463db4,c52ba0dbbdb48dd7396db1e7100849254a2cb5df9ffa1373e2adeb93c7a01102,Pass,Reviewed,Approved
028,028-input-devices-and-data-capture.md,Lesson 028: Input devices and data capture,02f3e50024712e49b26533e99d2a01c0deac24ad2037a1ce553dc48ea3fccd27,3b343b724c6e90c7171487ba568ed38e0d76f0e23dcca886582ffdbdfcc92af6,Pass,Reviewed,Approved
029,029-output-devices-and-user-feedback.md,Lesson 029: Output devices and user feedback,33e1032d0449a9071ae57fbf3461dfa5eee6120f875bab2f96af14251dc39bd7,bc080800bced50f325eef1716ceab0ba7a98ed081405a47408df539c1ef2be61,Pass,Reviewed,Approved
030,030-primary-storage-ram-rom-cache-and-virtual-memory.md,"Lesson 030: Primary storage: RAM, ROM, cache, and virtual memory",979e60e0c3d2adbcbb0f7e5ae63901f8d8a5ec7aeb92dd9a03f5b4adc0422d55,97a5d77c39ed9d5a5f4dbe0059799af2b9bae1b36bed4c2ba22fe5aea7f726be,Pass,Reviewed,Approved
031,031-secondary-storage-magnetic-optical-and-solid-state-media.md,"Lesson 031: Secondary storage: magnetic, optical, and solid-state media",6f5af551f37482890b1acab1807762f74799d1599afb9f656c2ad307bad69555,2622af3c0d130b4af4995a3ac1b31060777a4cda2a58ec80b02b3e689e8bf6fd,Pass,Reviewed,Approved
032,032-storage-characteristics-capacity-speed-durability-portability-and-cost.md,"Lesson 032: Storage characteristics: capacity, speed, durability, portability, and cost",116aba88afc9a757c52a8f7e2fc93a609c8e48e56012e09a6bd2dc5a03c119e8,dc461aa3261aec1170babbe6af464a272185edb369cf94c32758fa3a8fbf5642,Pass,Reviewed,Approved
033,033-embedded-systems-and-microcontrollers.md,Lesson 033: Embedded systems and microcontrollers,466e2a602e1a29aab1770faa1cbc80c9cc6615a11a486e93631a88a008988bdc,62ae150adc689b1d1b0b9b500f80884d10e32a47030db510ab3d5404719de3a0,Pass,Reviewed,Approved
034,034-sensors-actuators-and-control-systems.md,"Lesson 034: Sensors, actuators, and control systems",47a6a852aa59cbadbeac70eaf898afce429ae877e67a794d82bf839c00ae320b,4e0988748bc1f4e627d9cda97f231ab1538db4d8b3d0fdddc9d5431ac8b47784,Pass,Reviewed,Approved
035,035-logic-gates-not-and-or-nand-nor-xor.md,"Lesson 035: Logic gates: NOT, AND, OR, NAND, NOR, XOR",69bc4345a9c879e65bd312ae1a97039ac1ba2878cede6a90f0d05d0388cf555f,e6012cda18828711114b057238414fee3665e86bb3df19ed68008c4e833f81f6,Pass,Reviewed,Approved
036,036-truth-tables-and-boolean-expressions.md,Lesson 036: Truth tables and Boolean expressions,43adab5582357bf6cb3f667adb0924161836302287e21b2a14bbe64b60da5219,169f3eb9fb2014c5647a0d9b3be376cce62665e1c58f680d6bab2bd86c37b4d5,Pass,Reviewed,Approved
037,037-building-logic-circuits-from-requirements.md,Lesson 037: Building logic circuits from requirements,88df69e8c49eb27e7a3469bbb6b675349c1eaeb97453ef7d7d39a67523ba90c5,aa8074fb7ec8fe15e089ab2ba2146f8199f1112042b05b8e7f6649e78dcc76e3,Pass,Reviewed,Approved
038,038-hardware-selection-for-different-users.md,Lesson 038: Hardware selection for different users,36565d4676cd823c27bd246891a320e35dd946260f794668ce3f992ca53f59d4,7bb119462b72feebb30817e2fa5bcc9bd4dfa14bd4ef047885c8040138cea828,Pass,Reviewed,Approved
039,039-environmental-and-reliability-considerations-in-hardware.md,Lesson 039: Environmental and reliability considerations in hardware,0a30e62d2fce4859127f625cc473167a5eee261db332a5b0b6c28e7b1b5fac03,a26fe23836262737964b52f59fa636e1f509379699fb4012ecb8ae93b75f96ef,Pass,Reviewed,Approved
040,040-section-3-review-compare-justify-calculate.md,"Lesson 040: Section 3 review: compare, justify, calculate",9133478b9d4672bf4160e96cc144d6b4de4f0cb7b8a7a82f52d36668dd3b4bec,bec53999bd4110e87c2d48e47d8bf8052fea2cf278ad2900f486c5a9420ca82f,Pass,Reviewed,Approved
041,041-cpu-architecture-alu-cu-registers-buses-and-clock.md,"Lesson 041: CPU architecture: ALU, CU, registers, buses, and clock",3ffa826db5425bb536262ecccf2532c09e93747c92f87d814685bc7538c58707,17589534070599a23ce4bf7d885157388415aebfb22cb1d1656a699b053d8ec4,Pass,Reviewed,Approved
042,042-the-fetch-decode-execute-cycle.md,Lesson 042: The fetch-decode-execute cycle,5e482e5d38f5533d27cdf413b0dbf74e849bf4bce80f5ada04bc589531c05da8,f8611b435431c1543392ecd01856fd6fbac2270751d02fc0650c67301adc3799,Pass,Reviewed,Approved
043,043-registers-pc-cir-mar-mdr-acc-and-status-register.md,"Lesson 043: Registers: PC, CIR, MAR, MDR, ACC, IX, and status register",e567a0a65c28bc705362ccc5bde794a40823ed1fa90011889254e833d32d884b,34b66831ba50dae2ed14948cd9bebd4c3f556883bb20b74fc9f1ac601aeb72ea,Pass,Reviewed,Approved
044,044-system-buses-address-data-and-control.md,"Lesson 044: System buses: address, data, and control",5a1fb8d829b333a7d3cfcb318fea86f1677724c1a3d7af5a8a313f8e496c3dcc,67ea166da11c7854e8fcc0f761ece43495a91af20539b94c25b1815ea281d7e1,Pass,Reviewed,Approved
045,045-instruction-sets-and-machine-code.md,Lesson 045: Instruction sets and machine code,8e6e64b3be560a6ce4e4b11e4730d0d9a36e73ff9cae24f6f9e440daa9a0de47,86f10402acdd5fd1310311a1319de434d795608c13569aec69d3f64e1c1b9644,Pass,Reviewed,Approved
046,046-assembly-language-basics-and-mnemonics.md,Lesson 046: Assembly language basics and mnemonics,d897821846d400eb6b8c94a68a839ba4816037f782ef656658bc1152fb7f4194,e939cb93d94466d26be979201f21be2efad2aabd8be9d86d7ca27d1947c0f184,Pass,Reviewed,Approved
047,047-addressing-modes-and-operand-interpretation.md,Lesson 047: Addressing modes and operand interpretation,e684526967b282acd53965dcab0f2422d66b2bc87caf828795ff5785a7c073b0,4485167bf5db3927711ffb11cada33345699dfbe5bfaa909d626ba8d9a6bf714,Pass,Reviewed,Approved
048,048-interrupts-and-interrupt-service-routines.md,Lesson 048: Interrupts and interrupt service routines,d77db5b80847a1bd4a2852673947dfd9f5dd59eeec1ed87be0c55a93e38065ce,ab70629c439e0c859568373db624fb64d233a4d314c8b7c9d318d69ceb6be4b4,Pass,Reviewed,Approved
049,049-performance-factors-cores-cache-clock-speed-and-word-length.md,"Lesson 049: Performance factors: cores, cache, clock speed, and word length",24f806b2020026f490af041723886d0e3ba6104616129a79c59188ea25185c63,17afc3d75af2009c3504f652eafcdff973667f83ee2617d77ba2bfdb008fdded,Pass,Reviewed,Approved
050,050-bit-manipulation-masks-and-binary-shifts.md,Lesson 050: Bit manipulation: masks and binary shifts,2847239aa033eac5e44981c9712c2300b6cd74635c876ead25b9348229c8fb11,c83f1cbc8b47b08086a40d8688cee1996106e00c534d17d20c6cea9b260094e7,Pass,Reviewed,Approved
051,051-section-4-review-tracing-processor-behaviour.md,Lesson 051: Section 4 review: tracing processor behaviour,0e3f6b66ce68db3fe49569233fea1862169d785ca7b221ade0a3c66ec0b62923,197358dd4c4907c50a008ef6a48214eb4bdc89e9aed13e74e24b2c86c59611d8,Pass,Reviewed,Approved
052,052-system-software-overview-operating-systems-utility-software-and-transl.md,"Lesson 052: System software overview: operating systems, utility software, and translators",059954e38ce4f027caa51c90dacea04eecaa30b5131e73eb9cff4a0242c08c9c,0cef170ddb90628f229a30da1f2ab820d0d385bfb2038c7aba301bc80a8bf9db,Pass,Reviewed,Approved
053,053-operating-system-roles-process-memory-file-and-device-management.md,"Lesson 053: Operating system roles: process, memory, file, and device management",18c964ca577a69a6ccfc03d499093c289fab0bdb52c82fb59702fa9864012201,cd67973277972e9396741a01f6881722eb16e00d62aace180dbe0e552cb06b3a,Pass,Reviewed,Approved
054,054-user-interfaces-command-line-graphical-menu-driven-and-natural-languag.md,"Lesson 054: User interfaces: command line, graphical, menu-driven, and natural language",5c79033b1f5411fa8e7bb8c711f910474dc0b55248efb231a863a25de33a4d14,a439c9c5f6d489354173fad0026b562b652bd1b802b92eeb6b0819b78e4ffbf5,Pass,Reviewed,Approved
055,055-utility-software-backup-compression-encryption-defragmentation-and-ant.md,"Lesson 055: Utility software: backup, compression, encryption, defragmentation, and antivirus",dff67739414c7cce111792ca60682ac032dc2dd9d68adfc838c975337ab79efa,a4ef1c7292ad9300e2b8f8dd200c468f1757706c0ea9f49eac8c18cf496f9780,Pass,Reviewed,Approved
056,056-compilers-interpreters-and-assemblers.md,"Lesson 056: Compilers, interpreters, and assemblers",390c4d2050c1aa710935ab4ca1e34060be92195e385aeb44f23eaa76f5b8f636,405f0e8437c41bdb49a09bba529901fcbb16530cfb3369e215c27da44621b685,Pass,Reviewed,Approved
057,057-compilation-stages-lexical-analysis-to-object-code.md,Lesson 057: Compilation stages: lexical analysis to object code,20c37c861c8c6eb04dcd9ab03dfa912a1539e19cca55a460c63ff0b60fb24ed0,f1b7184a141a67c185dcd03e178125d2f7db6bdb6d26f1dfb26cd99e457949ec,Pass,Reviewed,Approved
058,058-linkers-loaders-and-libraries.md,"Lesson 058: Linkers, loaders, and libraries",c907e210d39c5bd56cc6b96ddd17dc02a7d2b3235737ee25c68a1acbe98fc131,0560c76dedf5ce3a942e0e98de18b300fd7c39d90fe9afcb1e5456c8056c852e,Pass,Reviewed,Approved
059,059-error-types-syntax-logic-runtime-and-translation-diagnostics.md,"Lesson 059: Error types: syntax, logic, runtime, and translation diagnostics",d5bed9d9f42b2c43752b20cf5dcb1614a1ab4008cf3e9588ee2c4cf4fc16d6aa,1a00b432eb0eda312620c5d1c4dd299230a7a03f3fb6e92743fe091a9fd30854,Pass,Reviewed,Approved
060,060-choosing-translation-approaches-for-development-and-deployment.md,Lesson 060: Choosing translation approaches for development and deployment,091501cebcfe86be22b8b22d9a3173f23f4e041ae3e908f2a81646e32fb6b369,3bb1cd71276d882f575e3efc31138536fba99b142853904b23ff83530fc9c852,Pass,Reviewed,Approved
061,061-section-5-review-precise-software-comparisons.md,Lesson 061: Section 5 review: precise software comparisons,d17104ed649dd0469b62b7ad9efaec5a13d6fcaebde2a892304fa151f093c14f,8fd6ccd2613fafa0755352771ed2d15b02c546ee0c0edeff61b255e3fc047e88,Pass,Reviewed,Approved
062,062-security-goals-confidentiality-integrity-availability-and-authenticity.md,"Lesson 062: Security goals: confidentiality, integrity, availability, and authenticity",62e24d6ca7404821723213e13f9d044f6c01a3944c5935fe2c2be14bc799cd96,e2054c188c3ab4abdcd840aa9f94c2162a593f0ec4fbb0a851c7103489d43329,Pass,Reviewed,Approved
063,063-malware-types-and-social-engineering.md,Lesson 063: Malware types and social engineering,776db17ad77521e1c65eefdeff4d9fac9b967408d3f17b9dd2f2489eae063e39,ec0cef1600fe6b0610d09712e6ed60752018e6e6298df4951821a7e05ff5dd48,Pass,Reviewed,Approved
064,064-hacking-phishing-pharming-and-denial-of-service-attacks.md,"Lesson 064: Hacking, phishing, pharming, and denial-of-service attacks",fc9ea0883acbcf73661957aea0b55d7bb4280eb8ddf6ed5798b77d78f793dee9,e047cc348b35242edfdb7224969bf10227f6bd3872ee116f25aad755cf494cf8,Pass,Reviewed,Approved
065,065-authentication-passwords-biometrics-tokens-and-multi-factor-authentica.md,"Lesson 065: Authentication: passwords, biometrics, tokens, and multi-factor authentication",a7597ebad91754c67a907cc6f2959ea8f58b7d7bce930ac01ad77430cf043c89,13282ac606d2c22d074d3234c1dc59bd1cad912c1610bb264044d554a0572ce9,Pass,Reviewed,Approved
066,066-access-rights-permissions-and-least-privilege.md,"Lesson 066: Access rights, permissions, and least privilege",e94918bb652287dc3fc2583e3f3be71dc5cc93f6d2eec48fdec6121577c78e0e,a0ada44fc00cfb77abdfee2137221179a7fbb065849edcf19a800fa8a717f7d5,Pass,Reviewed,Approved
067,067-encryption-hashing-and-digital-certificates.md,"Lesson 067: Encryption, hashing, and digital certificates",5245d501a0c87c79ecbdce9f2ad54d245fb9cffeeb751e3db3ae7bc092b1d9b8,15fed35e9179290d86ce882bc9234c8f4650ac1eaeceeca55638ea3b29477ad2,Pass,Reviewed,Approved
068,068-firewalls-proxies-and-network-monitoring.md,"Lesson 068: Firewalls, proxies, and network monitoring",d45fbef040ec614937c06a2acb26c14e8718644bc2ce1dd44394547bbfb8f6de,cc93f971656b2d4a51f115d89aa0465307a9447fb347982cb5d43f8cbe924971,Pass,Reviewed,Approved
069,069-data-validation-and-verification.md,Lesson 069: Data validation and verification,41924fa1072a5d34bc812959e39c20e8f449b9eda661644e3aa1f6960b40a9bf,319c70bafe80ce2fbc18f02b97af4b40f00711c7f53774c6e682c84a7bc15b2c,Pass,Reviewed,Approved
070,070-backup-strategies-disaster-recovery-and-audit-trails.md,"Lesson 070: Backup strategies, disaster recovery, and audit trails",a9bf87a5dedf60f85c018adde941a22e2811020b50fc3a03c11dc7de3c8432a6,e7af9edc301b491b2d3bad9c4009393871b9e2404cbca4b7fb75e857c58a92c9,Pass,Reviewed,Approved
071,071-section-6-review-matching-risks-to-controls.md,Lesson 071: Section 6 review: matching risks to controls,96269ca2507b80c42ab906632d98f1c63b57ff4fe2cee9292633058c9deb0623,8d0ab7cdcddf8c8bd3586a7ccee0f282284b1cbdd1957730789edb3e57a919cf,Pass,Reviewed,Approved
072,072-ethical-issues-in-computer-science-decisions.md,Lesson 072: Ethical issues in Computer Science decisions,f4548d8d203a9fde7800c319ffebaa4871208531538be4c0fad9b8f4e9c70e2b,749d76f314dc6293546f8c25db31f4630efffc746c0a66a8ca21eca6ef4bbd0c,Pass,Reviewed,Approved
073,073-privacy-surveillance-and-data-protection.md,"Lesson 073: Privacy, surveillance, and data protection",e37a281ba15bae17b655d7acff1a3ec9beed6f993b9121b1d1888ddd89792907,b1f7a75101582eda4b03136b02058ea5278f94da8b25eefba34265282af9051b,Pass,Reviewed,Approved
074,074-intellectual-property-copyright-patents-and-licensing.md,"Lesson 074: Intellectual property, copyright, patents, and licensing",f5dac1161e500cd3289f5daf820be1574df8a12be72c14455d8297293008bdb3,f39f8a36074c965e38ef75b635d741addb8195e292c28e97b1cfb3808d03dd6b,Pass,Reviewed,Approved
075,075-open-source-proprietary-software-and-ownership-trade-offs.md,"Lesson 075: Open source, proprietary software, and ownership trade-offs",dfb4c3a04027905259aacfc2744c9613281cd4f24bfef21f2de073808edeb2ad,961b00c8da13fa8c6e6d99b48540ae85b9b3eb0e572ab4035dd8649e9236ea61,Pass,Reviewed,Approved
076,076-environmental-and-social-impacts-of-computing.md,Lesson 076: Environmental and social impacts of computing,1d9b06b46b0f13f40481cb5b0bbb75a35aa144a30838e5faff59fd03a18dc293,fd43c50f2cf77b1df020a3557d4c8d50217411fe45d4f7946db4c95a4dbf01fd,Pass,Reviewed,Approved
077,077-section-7-review-balanced-evaluation-answers.md,Lesson 077: Section 7 review: balanced evaluation answers,cdbe178d45f1844e8d3dd364e7eb6f5e2a902bc37a98b135fba798e7b79b7e3a,6f00735aed79630b3c2f3ca6d918b07d2444e125a8fa872ae39a8af789f28ff8,Pass,Reviewed,Approved
078,078-data-information-databases-and-dbms-roles.md,"Lesson 078: Data, information, databases, and DBMS roles",6f746f6405a752cd0b1c0ccbf694c3c53b9d338ced5ad58498eedd61d3e16000,e0f895222aba21e12712dfe5e47cd0a494adafdb8a6204ff6263768fe003bbb9,Pass,Reviewed,Approved
079,079-flat-file-databases-vs-relational-databases.md,Lesson 079: Flat-file databases vs relational databases,17b1dd83f0502a23efe45326293c36f98e8df4b0f655757745081bf432b309ea,ac804706298b47917488fcea3320ce1a4b541bd92211165745636c077e3f8084,Pass,Reviewed,Approved
080,080-tables-records-fields-data-types-and-constraints.md,"Lesson 080: Tables, records, fields, data types, and constraints",f4927bb39849de0a7f00252665414c6816d69ffe7e7d132c6657f008d56e67a0,f6e8058e3e5983e36b80409455171042c86988dfd34162e8f4d8298f27a6e28f,Pass,Reviewed,Approved
081,081-primary-keys-foreign-keys-and-relationships.md,"Lesson 081: Primary keys, foreign keys, and relationships",7e60f801d5735def11dfe604ba982b14b12ad77e040fc377e9850567ef70ecd5,cbd208e6ee49f5b4a216b7e463a1503d8fa62a4d9b098f33defcf083977fa61c,Pass,Reviewed,Approved
082,082-entity-relationship-modelling.md,Lesson 082: Entity-relationship modelling,676fdd5f348014480085284911bd9a5225642d55f6b989d9435137d2158f114d,d2591a2ab2a517b406375232e166b5d3ac4560a03b8fe8fa002128895132ae6b,Pass,Reviewed,Approved
083,083-normalisation-avoiding-duplication-and-update-problems.md,Lesson 083: Normalisation: avoiding duplication and update problems,5a663c5cbded4378ad4bf32c03435e370b66baea5af1bc4573e8065bc918461f,3b2807645ff2a687fa7b083282eadd52cbe6a90719684eca84c97935159c2554,Pass,Reviewed,Approved
084,084-sql-select-from-where.md,"Lesson 084: SQL SELECT, FROM, WHERE",57ed4006f18e77caaee43611ead889ec6a3f749549ac8607d44e5874b2a6fb8e,4f2d1c4d76d5c5d3bcf98e22ddf60a8ae33aebdd3265a99f0ddd3a21a69cdbf7,Pass,Reviewed,Approved
085,085-sql-order-by-aggregate-functions-and-group-by.md,"Lesson 085: SQL ORDER BY, aggregate functions, and GROUP BY",9209b04992f548c6926240ed6e51833c97e68a2641554129e9ad82f20f07f5b9,39b31a8a1233b7a9104e30572cd95e6222d48e83e5a8845eb2e67fbd869b9a49,Pass,Reviewed,Approved
086,086-sql-joins-using-related-tables.md,Lesson 086: SQL joins using related tables,ad4903e53fa840d37eeab5cb04b5562d4ce7edd54370977501ff92b4748b0fc8,d78259b5f3589626cb143f705d87ba769e61c641a8da7b3b81a71686f7cdfa36,Pass,Reviewed,Approved
087,087-sql-insert-update-and-delete.md,"Lesson 087: SQL INSERT, UPDATE, and DELETE",f95ae192ef79e62feee0101dcf531423ca8ae5cc524e3278dbedb7cb57ee3218,65b7fec87dd516b05c13d702149f2f70ac940eba4bc3a9b064e91e7cb1dc6daf,Pass,Reviewed,Approved
088,088-validation-verification-security-and-backup-in-databases.md,"Lesson 088: Validation, verification, security, and backup in databases",882c680c500aebda09fa3801b27c9aafad6ce1910eeab71934cf1d1681c2e7cb,1ea548e0362b5e66273c64e019159063f6e2a97c5d9e651fa047011dfe59e665,Pass,Reviewed,Approved
089,089-section-8-review-designing-and-querying-relational-data.md,Lesson 089: Section 8 review: designing and querying relational data,d1d3502c746c58e7770fdbf8ab6b14017d50f30c7191d5c6e2c8f2050b11ddb5,c27fd4efdeb1b2ca08367b57844551d8003abb5baf1a2949bf6d931a8eed01ea,Pass,Reviewed,Approved
090,090-paper-1-review-representation-and-communication.md,Lesson 090: Paper 1 review: representation and communication,7aa1a431bd35ef0c05e14893ddd4c6be94c503620fc88bc9595f34f3abb32c9d,88b202c72f28b1c86c694f2536c35871783996d96e7aa031760b27560a79d57f,Pass,Reviewed,Approved
091,091-paper-1-review-hardware-and-processor-fundamentals.md,Lesson 091: Paper 1 review: hardware and processor fundamentals,d5d295294c72d9dd3961904d2d2a824193c6860b51e898f826fa270ece29be43,b1bdca5c46b6b2690a7f41c4f1c32fbea9373b8d6076d914ab29ca51d4aabf72,Pass,Reviewed,Approved
092,092-paper-1-review-system-software-and-security.md,Lesson 092: Paper 1 review: system software and security,86bdf9d069adf991187cbe2b19f652204a7101d9a0e9ae85be128c9767f1b981,55052aaff7d26fe16bc61e082c15bb68d3164f0f5e8614e1ed3ad3e880504123,Pass,Reviewed,Approved
093,093-paper-1-review-ethics-and-databases.md,Lesson 093: Paper 1 review: ethics and databases,b47abff0edb815ac5a713a77c8e8160eb37bcfe298ec59ef310d18a500caaa46,f58324d8ad84ae81025f83a7018c524cca916c68f1859afc5dec4cdcc90cad58,Pass,Reviewed,Approved
